id,description,n,best_lag,r,maxstat_p,circ_p,r_train,r_test,p_test,r_sat_only,r_ear_only,slope,r_by_lag
E1_B5_z,coincident lag0 brazil_seco_area|z vs ENGI11.SA-^BVSP,201,0.0,-0.0783201480508589,0.1956804319568043,0.263681592039801,-0.0692424388133211,-0.0296071564299675,0.3831616838316168,,,,
E1_B5_dz3,coincident lag0 brazil_seco_area|dz3 vs ENGI11.SA-^BVSP,200,0.0,0.0299986994392312,0.6522347765223477,0.681592039800995,0.0115847116079619,0.1289589100395336,0.1078892110788921,,,,
E1_Z1_z,coincident lag0 zambia_itt_area|z vs HG=F,217,0.0,-0.003050427110369,0.9677032296770324,0.961206896551724,0.0553178614476103,-0.0217012234452043,0.5947405259474052,,,,
E1_Z1_dz3,coincident lag0 zambia_itt_area|dz3 vs HG=F,200,0.0,0.0049829724312514,0.948105189481052,0.9388646288209608,-0.0032046481159919,-0.0104277019306067,0.453954604539546,,,,
E1_Z2_z,coincident lag0 zambia_itt_area|z vs FM.TO-^GSPTSE,217,0.0,-0.0450475080959528,0.4871512848715128,0.5086206896551724,0.0153967823966589,-0.0946092379112446,0.7969203079692031,,,,
E1_Z2_dz3,coincident lag0 zambia_itt_area|dz3 vs FM.TO-^GSPTSE,200,0.0,-0.0065411151094092,0.932106789321068,0.9039301310043668,0.0251535308752448,-0.0878652081399593,0.7694230576942306,,,,
E1_Z3_z,coincident lag0 zambia_itt_area|z vs USDZMW,158,0.0,-0.0349051703187927,0.6668333166683331,0.8404907975460123,-0.086902142311475,-0.0075853577264644,0.4742525747425257,,,,
E1_Z3_dz3,coincident lag0 zambia_itt_area|dz3 vs USDZMW,153,0.0,-0.004428296458255,0.9563043695630437,0.9447852760736196,0.0589948558015809,-0.1446821756368386,0.8662133786621338,,,,
E1_U1_z,coincident lag0 uswest_area|z vs NG=F,245,0.0,0.0054796538204841,0.9234076592340766,0.8975409836065574,0.0407926188366352,-0.0535518912454264,0.7117288271172882,,,,
E1_U1_dz3,coincident lag0 uswest_area|dz3 vs NG=F,242,0.0,-0.0928019951547354,0.1188881111888811,0.1244813278008298,-0.0475102746770069,-0.1650727624214524,0.0476952304769523,,,,
E1_U2_z,coincident lag0 uswest_area|z vs PCG-XLU,245,0.0,-0.0798266684811969,0.2148785121487851,0.5368852459016393,-0.1283488604848477,-0.0830203204465929,0.2118788121187881,,,,
E1_U2_dz3,coincident lag0 uswest_area|dz3 vs PCG-XLU,242,0.0,0.0682936604837411,0.2961703829617038,0.3609958506224066,0.1566577164783485,0.063555829599041,0.2936706329367063,,,,
E1_U3_z,coincident lag0 uswest_area|z vs EIX-XLU,245,0.0,-0.0279271798752171,0.6392360763923608,0.610655737704918,-0.0441241665510914,-0.0156555966912712,0.4504549545045495,,,,
E1_U3_dz3,coincident lag0 uswest_area|dz3 vs EIX-XLU,242,0.0,0.0546730394801627,0.3622637736226377,0.2697095435684647,-0.089391408964399,0.2053669316022507,0.989001099890011,,,,
E2,"partial r(sat dz3, d3 logCMO | official EAR dz3), lag 0",234,,-0.2264104642221327,,,,,,-0.4494727925999969,-0.443051885974914,,
E3_brazil_seco_area_z,brazil_seco_area|z at m -> log(1+CMO) change m+1..m+4 (non-overlapping with signal window),238,0.0,0.1045024504780071,0.240975902409759,0.152892561983471,0.0793657535644374,0.1928750755510255,0.0848915108489151,,,,
E3_brazil_seco_area_dz3,brazil_seco_area|dz3 at m -> log(1+CMO) change m+1..m+4 (non-overlapping with signal window),231,0.0,0.0395302714847324,0.650934906509349,0.6652719665271967,0.0560583381458736,0.0101475315784217,0.473952604739526,,,,
E3_brazil_ear_seco_z,brazil_ear_seco|z at m -> log(1+CMO) change m+0..m+3 (non-overlapping with signal window),246,0.0,0.2104821199670632,0.0134986501349865,0.0040322580645161,0.2643184325109824,0.1503905113690126,0.142985701429857,,,,
E3_brazil_ear_seco_dz3,brazil_ear_seco|dz3 at m -> log(1+CMO) change m+0..m+3 (non-overlapping with signal window),243,0.0,0.1581746304169632,0.0715928407159284,0.0775510204081632,0.2257848373492202,0.0597621421394204,0.325967403259674,,,,
E4_z_CISO hydro,"California 4-reservoir z LEVEL vs deseasonalised CISO hydro LEVEL (TWh), lag 0 (anomaly levels, both stationary by construction)",97,0.0,0.4804135060867986,0.0253974602539746,0.2291666666666666,0.3098563376621309,0.4112280168267153,0.0414958504149585,,,,
E4_dz3_CISO hydro,"California 4-reservoir dz3 vs d3 CISO hydro anomaly, lags 0-2",94,0.0,0.4145116955767484,0.0196980301969803,0.0786516853932584,0.4703293736379983,0.1357618859275633,0.2772722727727227,,,,
E4_z_CISO gas,"California 4-reservoir z LEVEL vs deseasonalised CISO gas LEVEL (TWh), lag 0 (anomaly levels, both stationary by construction)",97,0.0,-0.2078053530673579,0.3066693330666933,0.6041666666666666,-0.5125262631282154,0.278146078239483,0.8523147685231477,,,,
E4_dz3_CISO gas,"California 4-reservoir dz3 vs d3 CISO gas anomaly, lags 0-2",94,0.0,-0.1654495602470334,0.4143585641435856,0.6966292134831461,-0.3701353070660944,0.2239553417862758,0.8684131586841316,,,,
E4_wecc_hydro_fossil,"replication of scout: WECC deseasonalised hydro vs gas+coal, lag 0 (ground truth vs ground truth)",98,0.0,-0.3840030857750353,0.004999500049995,0.0309278350515463,-0.5024169224579006,-0.4566121918735761,0.0346965303469653,,,-0.6157463972525156,
E9_BZ=F,"log(Libya/Algeria) flare ratio d2 -> BZ=F, lags 1-4 (controls common sensor/cloud artefacts)",596,4.0,0.0791462635766938,0.1919520119970007,0.2671118530884808,0.0907788388993542,0.0609087726404389,0.1914521369657585,,,,
E9_d_BZ-CL_spread,"log(Libya/Algeria) flare ratio d2 -> d_BZ-CL_spread, lags 1-4 (controls common sensor/cloud artefacts)",596,4.0,-0.0344777299434258,0.8560359910022495,0.8497495826377296,-0.0635334036053647,-0.0128874920162326,0.4421394651337165,,,,
"E9_TANKERS(FRO,DHT)-^GSPC","log(Libya/Algeria) flare ratio d2 -> TANKERS(FRO,DHT)-^GSPC, lags 1-4 (controls common sensor/cloud artefacts)",598,2.0,0.0947304374910565,0.0672331917020744,0.0734557595993322,0.0965862777167535,0.0941084163487197,0.0759810047488128,,,,
E10_NO2,"NVE filling anomaly d1 -> dlog Nord Pool NO2 weekly price 2011-2025, lags 0-4",765,0.0,-0.29641490258466124,0.00024993751562109475,0.0012360939431396785,-0.2960341387246674,-0.34137454857083366,0.00024993751562109475,,,,"[-0.2964, 0.0024, 0.1115, 0.1156, 0.1032]"
