id,tier,signal,transform,target,expected_sign,freq,latency,lags,n,best_lag,r,beta,spearman,perm_p,maxstat_p,bh_q,sign_ok,survives_bh05,circ_p,yearshuffle_p,r_partial,p_partial,r_train,r_test,p_test,oos_same_sign,r_by_lag,sample_start,sample_end,circ_n_shifts,train_n,test_n,train_lag,split,lag_partial
B1_z,market,brazil_seco_area,z,AXIA3.SA-^BVSP,1,M,1,"[1, 2, 3]",237,3,-0.10735017902438937,-0.008971930190746394,-0.07478018025489534,0.09109089091090891,0.19058094190580943,0.9961003899610039,False,False,0.1864406779661017,0.12148785121487851,-0.10429251502069112,0.21257874212578742,-0.08993508907855786,-0.16789429048668864,0.0254974502549745,True,"[-0.056, -0.0776, -0.1074]",2006-04-01,2026-08-01,235,143,94,3,2018-07-01,3.0
B1_dz3,market,brazil_seco_area,dz3,AXIA3.SA-^BVSP,1,M,1,"[1, 2, 3]",231,2,0.04346448345193273,0.007256983485288748,0.028549037169726826,0.49535046495350465,0.8423157684231577,0.9961003899610039,True,False,0.7896995708154506,0.8435156484351565,0.03320621325814978,0.9202079792020798,0.05223885642247829,-0.19099603804460843,0.969003099690031,False,"[0.0179, 0.0435, 0.005]",2006-07-01,2026-08-01,232,139,91,3,2018-10-01,2.0
B2_z,market,brazil_seco_area,z,CMIG4.SA-^BVSP,1,M,1,"[1, 2, 3]",238,2,0.010259871738917214,0.0006373140760518761,0.030153028321121367,0.8871112888711129,0.9961003899610039,0.9961003899610039,True,False,0.9957627118644068,0.9915008499150085,0.013456172030208517,0.9898010198980102,0.06720827138400248,-0.14541251893813598,0.917008299170083,False,"[-0.0005, 0.0103, -0.0044]",2006-04-01,2026-08-01,235,143,95,2,2018-07-01,2.0
B2_dz3,market,brazil_seco_area,dz3,CMIG4.SA-^BVSP,1,M,1,"[1, 2, 3]",231,2,-0.06466453315820396,-0.00800383515436834,-0.06790143889094415,0.35376462353764626,0.6543345665433457,0.9961003899610039,False,False,0.5450643776824035,0.6457354264573543,-0.08144455205219965,0.47995200479952005,-0.09068274354908343,0.013331461447158728,0.5602439756024398,False,"[-0.0594, -0.0647, -0.0005]",2006-07-01,2026-08-01,232,139,92,2,2018-10-01,2.0
B3_z,market,brazil_seco_area,z,EGIE3.SA-^BVSP,1,M,1,"[1, 2, 3]",237,3,-0.08965590097292561,-0.0039776384769388785,-0.07928204536480973,0.16328367163283672,0.3163683631636836,0.9961003899610039,False,False,0.24152542372881355,0.26747325267473254,-0.08218284461614819,0.33956604339566043,-0.08351434984358941,-0.13634912716617953,0.07679232076792321,True,"[-0.0392, -0.0653, -0.0897]",2006-04-01,2026-08-01,235,143,94,3,2018-07-01,3.0
B3_dz3,market,brazil_seco_area,dz3,EGIE3.SA-^BVSP,1,M,1,"[1, 2, 3]",232,1,0.07302097713275672,0.006409456514372798,0.08212262800097636,0.26717328267173285,0.5417458254174583,0.9961003899610039,True,False,0.5708154506437768,0.6735326467353264,-0.09729523920934623,0.28917108289171084,0.0919547778070156,0.0388265535531138,0.34806519348065196,True,"[0.073, 0.0386, -0.0329]",2006-07-01,2026-08-01,232,139,93,1,2018-10-01,3.0
B4_z,market,brazil_seco_area,z,ENEV3.SA-^BVSP,-1,M,1,"[1, 2, 3]",222,1,0.0734445235958148,0.009584999353684807,0.05793401704770738,0.3538646135386461,0.5400459954004599,0.9961003899610039,False,False,0.5138888888888888,0.5745425457454254,0.07405751629058802,0.5081491850814919,0.08758063723191079,-0.08058712148161168,0.7505249475052495,False,"[0.0734, 0.059, 0.0609]",2007-12-01,2026-08-01,215,133,89,1,2019-02-01,1.0
B4_dz3,market,brazil_seco_area,dz3,ENEV3.SA-^BVSP,-1,M,1,"[1, 2, 3]",219,3,-0.08939573132822273,-0.019359579673252962,-0.04921909810686989,0.1947805219478052,0.40185981401859816,0.9961003899610039,True,False,0.3425925925925926,0.33596640335966405,-0.07431760782834226,0.5172482751724827,-0.11359711712777044,-0.045999782494294865,0.33526647335266474,True,"[-0.0534, -0.0759, -0.0894]",2007-12-01,2026-08-01,215,132,87,3,2019-02-01,3.0
B5_z,market,brazil_seco_area,z,ENGI11.SA-^BVSP,1,M,1,"[1, 2, 3]",197,3,-0.09820050511939447,-0.00618523484433055,-0.09097344521564972,0.10838916108389161,0.23507649235076492,0.9961003899610039,False,False,0.15025906735751296,0.1962803719628037,-0.08635460139948532,0.31196880311968805,-0.07050738176899454,-0.08202549442464915,0.21307869213078692,True,"[-0.0687, -0.0704, -0.0982]",2009-11-01,2026-08-01,192,119,78,3,2019-11-01,3.0
B5_dz3,market,brazil_seco_area,dz3,ENGI11.SA-^BVSP,1,M,1,"[1, 2, 3]",197,2,-0.07036689906964046,-0.007892105872429602,-0.05624252469792717,0.2953704629537046,0.599040095990401,0.9961003899610039,False,False,0.5440414507772021,0.6171382861713829,-0.07310182183038942,0.5505449455054494,-0.06742451419382074,-0.04106500251791219,0.35996400359964004,True,"[0.0233, -0.0704, -0.0619]",2009-11-01,2026-08-01,192,118,79,2,2019-11-01,2.0
