id,placebo_signal,target,tier,n,best_lag,r,maxstat_p
Z3_z,placebo_volta,USDZMW,market,119,1,-0.04388441161023682,0.9156084391560844
Z3_z,placebo_toktogul,USDZMW,market,160,1,0.03693189785390962,0.9198080191980802
Z3_dz3,placebo_argyle,USDZMW,market,144,3,-0.20720727212382264,0.052094790520947905
Z3_dz3,placebo_guri,USDZMW,market,135,2,-0.16079880301773655,0.26207379262073793
Z3_dz3,placebo_volta,USDZMW,market,84,3,-0.03152713430056919,0.9839016098390161
Z3_dz3,placebo_toktogul,USDZMW,market,157,2,0.1294301389296514,0.3187681231876812
U1_z,placebo_argyle,NG=F,market,232,2,-0.05823208308670668,0.6086391360863913
U1_z,placebo_guri,NG=F,market,212,3,-0.05068833234725041,0.7671232876712328
U1_z,placebo_volta,NG=F,market,143,1,0.11978327598489096,0.30326967303269675
U1_z,placebo_toktogul,NG=F,market,227,3,0.046279236561918555,0.766023397660234
U1_dz3,placebo_argyle,NG=F,market,218,1,0.05091208491805408,0.7906209379062094
U1_dz3,placebo_guri,NG=F,market,187,1,0.09275751171927923,0.5349465053494651
U1_dz3,placebo_volta,NG=F,market,93,2,-0.16890038776435884,0.24027597240275972
U1_dz3,placebo_toktogul,NG=F,market,212,2,-0.06117074310248181,0.7233276672332767
U2_z,placebo_argyle,PCG-XLU,market,232,1,0.05931905346154526,0.6318368163183682
U2_z,placebo_guri,PCG-XLU,market,212,3,-0.11712737767650191,0.19258074192580743
U2_z,placebo_volta,PCG-XLU,market,142,2,-0.19565508544892785,0.05959404059594041
U2_z,placebo_toktogul,PCG-XLU,market,227,3,-0.12091356326824204,0.16248375162483752
U2_dz3,placebo_argyle,PCG-XLU,market,217,3,0.09805702189798107,0.32596740325967405
U2_dz3,placebo_guri,PCG-XLU,market,185,3,-0.20683088052287937,0.012598740125987402
U2_dz3,placebo_volta,PCG-XLU,market,94,1,0.18418124973606687,0.2034796520347965
U2_dz3,placebo_toktogul,PCG-XLU,market,212,2,0.1075650229636567,0.3006699330066993
U3_z,placebo_argyle,EIX-XLU,market,232,2,-0.06260291856361554,0.5591440855914409
U3_z,placebo_guri,EIX-XLU,market,213,2,-0.05535665344331378,0.7091290870912909
U3_z,placebo_volta,EIX-XLU,market,141,3,-0.10879822459449266,0.35426457354264573
U3_z,placebo_toktogul,EIX-XLU,market,228,2,0.021305152849029067,0.9641035896410359
U3_dz3,placebo_argyle,EIX-XLU,market,218,2,-0.10209330614985145,0.28347165283471654
U3_dz3,placebo_guri,EIX-XLU,market,185,3,-0.11363435382765265,0.27947205279472054
U3_dz3,placebo_volta,EIX-XLU,market,94,1,0.1922544693270689,0.15958404159584041
