plant,kind,lat,lon,height,osm_type,osm_id
IRN_RAJAEE,cooling_tower,36.1547738,50.297994,80,way,438039121
IRN_SHAZAND,chimney,34.005463,49.4783301,30,way,535784247
IRN_SHAZAND,chimney,34.004773,49.4775366,30,way,535784250
IRN_SHAZAND,chimney,34.0050054,49.4778043,30,way,535784258
IRN_SHAZAND,chimney,34.005235,49.478063,30,way,535784271
IRN_SHAZAND,chimney,34.0045582,49.4772831,30,way,535784273
IRN_MONTAZERI,chimney,32.7958184,51.4962582,70,way,537527613
IRN_MONTAZERI,chimney,32.7970159,51.4928204,70,way,537527621
IRN_RAMIN,chimney,31.5027828,48.8829722,60,way,551011431
IRN_RAMIN,chimney,31.5028861,48.8818124,60,way,551011456
IRN_RAMIN,chimney,31.5026592,48.8849548,60,way,551011465
IRN_FARS,cooling_tower,29.3599547,52.6174351,50,way,563672693
IRN_MONTAZERI,cooling_tower,32.7968821,51.5031812,,way,563737485
IRN_MONTAZERI,cooling_tower,32.795748,51.5020358,,way,563737486
IRN_MONTAZERI,cooling_tower,32.7969001,51.5004694,,way,563737487
IRN_MONTAZERI,cooling_tower,32.7980255,51.5016557,,way,563737488
IRN_MONTAZERI,cooling_tower,32.8045727,51.4953613,,way,571998870
IRN_MONTAZERI,cooling_tower,32.8030138,51.4961363,,way,571998871
IRN_MONTAZERI,cooling_tower,32.8023888,51.4946065,,way,571998877
IRN_MONTAZERI,cooling_tower,32.8039487,51.4937322,,way,571998881
IRN_NEKA,chimney,36.8381632,53.2585768,130,way,626355174
IRN_NEKA,chimney,36.8380129,53.2575922,130,way,626355191
IRN_NEKA,chimney,36.8380553,53.2580204,130,way,626355194
IRN_NEKA,chimney,36.8382632,53.2591206,130,way,626355214
IRN_KAZEROON,cooling_tower,29.5608561,51.6962863,60,way,812389727
IRN_KAZEROON,cooling_tower,29.5610386,51.6981039,60,way,812389728
IRN_KAZEROON,cooling_tower,29.562078,51.6992098,60,way,812389730
IRN_SHIRVAN,cooling_tower,37.3427116,58.0476058,,way,909137793
IRN_SHIRVAN,cooling_tower,37.3419418,58.0504945,,way,909137794
IRN_SHIRVAN,cooling_tower,37.342338,58.0490584,,way,909137795
IRN_FARS,cooling_tower,29.3610417,52.6169649,50,way,911392976
IRN_FARS,cooling_tower,29.3621062,52.6165071,50,way,911392977
IRN_RAJAEE,cooling_tower,36.1560705,50.2992373,80,way,1064121748
IRN_RAJAEE,cooling_tower,36.1550813,50.3008662,80,way,1064121749
IRN_RAJAEE,cooling_tower,36.1537698,50.299555,80,way,1064121750
IRN_RAJAEE,cooling_tower,36.1541853,50.2805576,60,way,1064121751
IRN_RAJAEE,cooling_tower,36.1552856,50.2802662,60,way,1064121752
IRN_RAJAEE,cooling_tower,36.1558648,50.2814415,60,way,1064121753
IRN_DAMAVAND,cooling_tower,35.4191764,51.8495655,,way,1320068476
IRN_DAMAVAND,cooling_tower,35.4187037,51.8510344,,way,1320068509
IRN_DAMAVAND,cooling_tower,35.4178165,51.8521061,,way,1320068524
IRN_DAMAVAND,cooling_tower,35.4171697,51.8533812,,way,1320068532
IRN_DAMAVAND,cooling_tower,35.4168102,51.8547906,,way,1320073454
IRN_DAMAVAND,cooling_tower,35.4158465,51.8558412,,way,1320073467
IRQ_ERBIL,chimney,36.0063049,43.9046055,,node,4551228493
IRQ_SHEMAL,chimney,36.0552956,43.2968422,,node,4559621350
IRQ_SHATTBASRA,chimney,30.1840933,47.836715,,node,5294746489
IRQ_SHATTBASRA,chimney,30.1843507,47.8366855,,node,5294746490
IRQ_SHATTBASRA,chimney,30.1857812,47.8370717,,node,5294746491
IRQ_SHATTBASRA,chimney,30.185765,47.8363636,,node,5294746492
IRQ_SHATTBASRA,chimney,30.1857232,47.8350949,,node,5294746493
IRQ_SHATTBASRA,chimney,30.1869706,47.8373641,,node,5294746495
IRQ_MUSSAIB,chimney,32.8392962,44.2916869,,node,8444520655
IRQ_MUSSAIB,chimney,32.8392965,44.291889,,node,8444520656
IRQ_ERBIL,chimney,36.0086715,43.9174494,,node,8613681483
IRQ_ERBIL,chimney,36.0084724,43.9173458,,node,8613681484
IRQ_ERBIL,chimney,36.0083124,43.9179959,,node,8613681485
IRQ_ERBIL,chimney,36.0085121,43.9180927,,node,8613681486
IRQ_ERBIL,chimney,36.0083313,43.9187602,,node,8613681487
IRQ_ERBIL,chimney,36.0081461,43.9186686,,node,8613681488
IRQ_ERBIL,chimney,36.0079611,43.919318,,node,8613681489
IRQ_ERBIL,chimney,36.0081431,43.9194032,,node,8613681490
IRQ_ERBIL,chimney,36.0077658,43.9200815,,node,8613681491
IRQ_ERBIL,chimney,36.0079744,43.9201771,,node,8613681492
IRQ_ERBIL,chimney,36.0076158,43.9207609,,node,8613681493
IRQ_ERBIL,chimney,36.0077976,43.9208426,,node,8613681494
IRQ_ERBIL,chimney,36.0074256,43.9214128,,node,8613681495
IRQ_ERBIL,chimney,36.0076297,43.9215135,,node,8613681496
IRQ_ERBIL,chimney,36.009175,43.9217219,,node,8613681497
IRQ_ERBIL,chimney,36.0074545,43.9221581,,node,8613681498
IRQ_MUSSAIB,chimney,32.8408471,44.2915228,,node,9453568349
IRQ_MUSSAIB,chimney,32.8413761,44.2915133,,node,9453568350
IRQ_MUSSAIB,chimney,32.8419102,44.2914968,,node,9453568351
IRQ_MUSSAIB,chimney,32.8424612,44.2914831,,node,9453568352
IRQ_MUSSAIB,chimney,32.8430033,44.2914706,,node,9453568353
IRQ_MUSSAIB,chimney,32.842655,44.2914806,,node,9453568354
IRQ_MUSSAIB,chimney,32.8421256,44.2914924,,node,9453568375
IRQ_MUSSAIB,chimney,32.8415928,44.2915126,,node,9453568376
IRQ_MUSSAIB,chimney,32.8410552,44.2915189,,node,9453568377
IRQ_MUSSAIB,chimney,32.8405126,44.2915433,,node,9453568378
IRQ_MUSSAIB,chimney,32.8428128,44.2760064,,way,353640173
IRQ_MUSSAIB,chimney,32.8427549,44.2753099,,way,353640174
IRQ_MUSSAIB,chimney,32.8427215,44.2746207,,way,353640175
IRQ_MUSSAIB,chimney,32.8426918,44.2738873,,way,353640176
IRQ_SHATTBASRA,chimney,30.1855395,47.8389785,,way,1162898079
