plant_id_eia,plant_name_eia,state,latitude,longitude,fuel,nox_lbs_h,so2_lbs_h,mean_mw,iso
6204,Laramie River Station,WY,42.108889,-104.8825,coal,1090.2703222905277,1071.7665407559207,844.6592668488161,0.0
4158,Dave Johnston,WY,42.8378,-105.7769,coal,1087.6412609289637,1464.1161905737704,485.39719945355193,0.0
6021,Craig (CO),CO,40.4627,-107.5912,coal,986.3128132969056,296.95308606557415,576.9711976320583,0.1472203468086005
7790,Bonanza,UT,40.0864,-109.2844,coal,977.7259730191262,117.86919330601114,390.6921675774135,0.0
6090,Sherburne County,MN,45.3808,-93.8931,coal,961.9049487704914,646.5317874544643,784.039048269581,0.0104195562523551
3399,Cumberland (TN),TN,36.3903,-87.6539,coal,948.6169764344168,1047.3548090847012,1172.3695355191255,0.0351873362591808
2107,Sioux,MO,38.915479,-90.290247,coal,833.1249149590182,288.04751878415306,413.1251138433515,0.1100135374253554
6096,Nebraska City,NE,40.6214,-95.7764,coal,827.1234496812405,1814.1812444216728,741.0489526411658,0.0199016269596961
1710,J H Campbell,MI,42.910296,-86.20074,coal,735.9899945355185,1234.9893644125675,1015.2564890710382,0.1666314047559452
6041,H L Spurlock,KY,38.7,-83.8181,coal,714.6588274134788,888.7374858834276,968.872495446266,0.0
6190,Brame Energy Center,LA,31.395,-92.716667,coal,693.8124554872492,461.3592548952639,331.2218806921676,0.0
6138,Flint Creek,AR,36.2561,-94.5241,coal,634.1194826958101,157.8920206056468,292.3915072859745,0.0321749559037439
2442,Four Corners,NM,36.69,-108.4814,coal,624.263776525501,384.41501275045505,1041.0300546448088,0.0185455440423004
8224,North Valmy,NV,40.881317,-117.151605,coal,496.1485395036429,767.0394232695817,162.93032786885246,0.1416945323708299
6178,Coleto Creek,TX,28.7128,-97.214167,coal,490.0767435109292,1880.0345198087427,322.8014571948998,0.0596733779136574
6249,Winyah,SC,33.33184,-79.357236,coal,472.4170712659379,541.3481827185802,475.1584699453552,0.006418807585391
1893,Clay Boswell,MN,47.2611,-93.6528,coal,470.0618678278687,114.79742850637516,550.4371584699453,0.0
6017,Newton,IL,38.9361,-88.2781,coal,458.3750466757739,1514.227062500001,352.49783697632057,0.1702472120514242
2277,Sheldon,NE,40.5589,-96.7847,coal,441.81652151639287,531.7294195127505,84.02481785063752,0.0772335355619913
2721,James E. Rogers Energy Complex,NC,35.22,-81.7594,coal,409.8210027322403,174.169919398907,608.2471539162113,0.218131933742338
3407,Kingston,TN,35.8992,-84.5194,coal,409.75824965847033,771.3018102231349,444.8283242258652,0.0799012373033999
3954,Mt Storm,WV,39.2008,-79.2636,coal,374.00058299180336,451.3374353369766,512.1906876138434,0.0
1403,Nine Mile Point,LA,29.9472,-90.1458,gas,2091.342546789627,5.333765027322435,1042.6124772313296,0.266801228501666
8042,Belews Creek,NC,36.2811,-80.0603,gas,1872.6778335610177,277.23892543260456,1156.9289617486338,0.1043507637819098
2727,Marshall (NC),NC,35.5975,-80.9658,gas,1354.163666666667,304.93971539161936,908.6130464480874,0.1379950046611485
628,Crystal River,FL,28.9656,-82.6977,gas,935.1401236338808,618.866993397085,1839.5245901639344,0.0
10745,Midland Cogeneration Venture,MI,43.5861,-84.2242,gas,891.6339626593781,6.470322973588371,975.950136612022,0.0290984252799686
8066,Jim Bridger,WY,41.7378,-108.7875,gas,681.1728181921671,907.4901691712188,965.4849726775956,0.0
3490,Graham,TX,33.1344,-98.6117,gas,590.5034233834242,0.7760255009107474,124.68852459016394,0.1701963077789862
26,E C Gaston,AL,33.244211,-86.458056,gas,485.854571152094,319.93897734517077,409.8589480874317,0.0842111937850122
2956,Seminole,OK,34.96645,-96.7258,gas,346.4790963114755,1.7418492714025509,278.93146630236794,0.0
641,Crist,FL,30.5661,-87.2244,gas,323.0440804872494,2.1949265710382635,337.21778233151184,0.1183568301359567
2964,Southwestern,OK,35.1009,-98.3524,gas,304.5243425546449,0.7227396402550057,101.15300546448088,0.1318630781811489
10,Greene County,AL,32.6017,-87.7811,gas,266.7408961748635,1.2638933287796026,181.40698998178507,0.0
136,Seminole (FL),FL,29.733056,-81.632778,gas,254.00794125683083,413.9450662568306,1243.9875910746812,0.1165107275745121
160,Apache Station,AZ,32.0603,-109.8931,gas,253.55373474499055,7.398354622040036,276.29474043715845,0.0
3482,Jones,TX,33.5239,-101.7392,gas,249.5841140710378,1.8423752276867,296.9664162112933,0.1396914356332204
612,Fort Myers,FL,26.6967,-81.7831,gas,239.0643156876138,5.324464480874291,1146.1760018214936,0.0
126,H Wilson Sundt Generating Station,AZ,32.16,-110.9047,gas,237.57621288706716,4.446602231329691,125.52390710382514,0.0356473745194796
7210,Cope,SC,33.3644,-81.03,gas,226.96364628870663,135.95561338797728,205.4944216757741,0.1704811902342257
58215,Lee Combined Cycle Plant,NC,35.373611,-78.089444,gas,214.21776741803265,2.849856671220485,759.9962431693989,0.0215007696896781
6761,Rawhide,CO,40.860905,-105.021207,gas,170.61516438979942,96.2476525500913,160.72620673952642,0.0207209206246844
