plant_id_eia,max_mw,mean_mw,frac_off,ctypes,ttypes,n_cool,plant_name_eia,state,latitude,longitude,fuel
130,2292.0,1051.784039162113,0.0007969034608378871,RI,MW,4.0,Cross,SC,33.371506,-80.113235,coal
2625,1169.0,154.8094262295082,0.7338342440801457,ON,,2.0,Bowline Point,NY,41.2044,-73.9689,gas
7538,955.0,8.318989071038251,0.954804189435337,,,,Wayne County,NC,35.375789,-78.098052,gas
55463,1426.0,601.9924863387978,0.21106557377049182,RI,MW,4.0,Redbud Power Plant,OK,35.6856,-97.2264,gas
880042,,0.0,,,,,AK Steel Corporation - Middletown,OH,39.4968,-84.3901,
880076,,0.0,,,,,Lemont Refinery,IL,41.6439,-88.0467,
2390,3.0,0.0017076502732240437,0.998747723132969,,,,Sayreville,NJ,40.476525,-74.352336,oil
2411,575.0,308.7702641165756,0.22984972677595628,DC,MD,1.0,PSEG Sewaren Generating Station,NJ,40.5558,-74.2469,gas
54914,240.0,205.6987704918033,0.0014799635701275046,,,,Brooklyn Navy Yard Cogeneration,NY,40.699357,-73.976392,gas
55010,267.0,151.8360655737705,0.24373861566484517,RI,MW,1.0,LSP-Cottage Grove LP,MN,44.7956,-92.9119,gas
55015,472.0,354.52743624772313,0.0,,,,Sweeny Cogen Facility,TX,29.0728,-95.745,gas
55042,543.0,307.683970856102,0.29200819672131145,ON,,1.0,Bridgeport Energy Project,CT,41.1692,-73.1844,gas
55043,71.0,50.837659380692166,0.1711065573770492,,,,Cherokee County Cogen,SC,35.0727,-81.613,gas
55262,27.0,0.24237249544626593,0.9872495446265938,,,,Bowling Green Generating Station,OH,41.397369,-83.641236,gas
55267,626.0,29.458902550091075,0.885132058287796,,,,Edward L. Addison Generating Plant,GA,32.9111,-84.3064,gas
55482,313.0,243.5846994535519,0.14082422586520948,HRI,WD,1.0,Goldendale Generating Station,WA,45.8114,-120.833,gas
57185,1111.0,483.183970856102,0.12181238615664845,DC,MD,3.0,Cricket Valley Energy,NY,41.676111,-73.581111,gas
63931,1285.0,747.1288706739526,0.14685792349726776,DC,MD,2.0,CPV Three Rivers Energy Center,IL,41.372222,-88.284444,gas
533,553.0,230.8283242258652,0.23554189435336975,RI,MW,2.0,McWilliams,AL,31.400255,-86.476449,gas
6043,2270.0,881.008310564663,0.18772768670309653,"RI,RC",MW,2.0,Martin,FL,27.0536,-80.5628,gas
6002,2982.0,2265.243966302368,0.0,RN,NW,2.0,James H Miller Jr,AL,33.6319,-87.0597,coal
54350,93.0,44.592440801457194,0.45081967213114754,,,,Nevada Cogen Assoc#1 GarnetVly,NV,36.343229,-114.920686,gas
7515,96.0,1.7558060109289617,0.9326047358834244,,,,McPherson 3,KS,38.38932,-97.61108,gas
50776,,0.0,,,,,Panther Creek Energy Facility,PA,40.8556,-75.8781,coal
55200,126.0,31.256147540983605,0.5584016393442623,,,,Arapahoe Combustion Turbine Project,CO,39.6692,-105.0018,gas
55206,585.0,351.91473132969037,0.006033697632058288,RI,MW,1.0,Corpus Christi Energy Center,TX,27.8139,-97.4283,gas
55211,379.0,192.53768214936247,0.17270036429872496,DC,MD,2.0,ANP Bellingham Energy Project,MA,42.110577,-71.453468,gas
55216,179.0,65.97791438979964,0.0,,,,Morris Cogeneration LLC,IL,41.411944,-88.332778,gas
4271,426.0,115.66632513661202,0.28608834244080145,ON,,1.0,John P Madgett,WI,44.303583,-91.912647,coal
4939,868.0,188.3191029143898,0.4413706739526412,OC,,2.0,Barney M Davis,TX,27.6064,-97.3117,gas
7912,48.0,5.206170309653916,0.8744307832422586,,,,Brentwood,NY,40.787062,-73.293412,gas
55111,663.0,88.20571493624772,0.7407786885245902,,,,Vermillion Energy Facility,IN,39.922328,-87.446358,gas
56241,355.0,92.74430783242259,0.5535063752276868,,,,Cannon Falls Energy Center,MN,44.536688,-92.915528,gas
64854,89.0,79.46152094717668,0.011612021857923498,,,,Primient,IN,40.376319,-86.843695,gas
50450,61.0,6.00922131147541,0.8739754098360656,,,,Indeck Oswego Energy Center,NY,43.471745,-76.493474,gas
55391,490.0,46.65186703096539,0.8246812386156649,,,,RockGen Energy Center,WI,42.9767,-89.0492,gas
55392,483.0,44.53790983606557,0.8010018214936248,,,,Zion Energy Center,IL,42.4776,-87.895,gas
634,1235.0,731.9168943533698,0.012408925318761385,ON,,1.0,P L Bartow,FL,27.859535,-82.601759,gas
8002,427.0,7.088228597449909,0.9604963570127505,ON,,1.0,Newington,NH,43.1,-70.790833,gas
55086,674.0,79.74635701275045,0.5256147540983607,RI,MW,1.0,Gregory Power Facility,TX,27.88929,-97.258417,gas
60368,1157.0,874.6763433515483,0.12921220400728597,RI,MW,1.0,Hummel Station LLC,PA,40.839014,-76.825517,gas
60460,91.0,15.873406193078324,0.6678051001821493,,,,Chamon Power LLC,TX,29.883214,-95.111345,gas
542,41.0,0.057832422586520944,0.9968123861566485,,,,Cos Cob,CT,41.0289,-73.5989,oil
663,285.0,92.83151183970855,0.017759562841530054,RI,MW,2.0,Deerhaven Generating Station,FL,29.7592,-82.3878,gas
676,366.0,178.15437158469945,0.11372950819672131,RI,MW,1.0,C D McIntosh Jr,FL,28.0801,-81.9229,gas
3491,1211.0,104.98838797814207,0.6958105646630237,OC,,1.0,Handley,TX,32.7283,-97.2192,gas
3118,1813.0,444.8426684881603,0.41211293260473586,RN,NW,2.0,Conemaugh,PA,40.3842,-79.0611,coal
3611,854.0,298.47495446265935,0.1811247723132969,RC,,2.0,O W Sommers,TX,29.308056,-98.3242,gas
728,725.0,252.97301912568307,0.19808743169398907,RI,MW,2.0,Yates,GA,33.4622,-84.8986,gas
7546,100.0,2.648110200364299,0.9451275045537341,,,,Ponca City,OK,36.71979,-97.085758,gas
1592,92.0,0.3574681238615665,0.9903233151183971,,,,Exelon Medway LLC,MA,42.140028,-71.446441,oil
3944,2105.0,1307.9404599271402,0.0,RN,NW,2.0,FirstEnergy Harrison Power Station,WV,39.384167,-80.3325,coal
3948,1683.0,519.055441712204,0.18203551912568305,RN,NW,2.0,Mitchell (WV),WV,39.8297,-80.8153,coal
6358,42.0,0.19068761384335156,0.9931693989071039,,,,Hutchinson Plant #2,MN,44.888881,-94.349348,gas
56283,99.0,7.160177595628415,0.8702185792349727,,,,Hargis-Hebert Electric Generating,LA,30.1694,-91.9923,gas
2226,107.0,4.510018214936248,0.8384562841530054,ON,,1.0,Canaday,NE,40.6942,-99.7011,gas
55375,626.0,488.82934881602915,0.047586520947176685,DC,MD,1.0,Astoria Energy,NY,40.7825,-73.8964,gas
3393,1109.0,749.7363387978143,0.07889344262295082,RF,MW,1.0,Allen,TN,35.074087,-90.14868,gas
10776,49.0,1.2504553734061932,0.9568533697632058,,,,E F Oxnard Energy Facility,CA,34.1958,-119.1664,gas
1439,,0.0,,,,,Houma,LA,29.5806,-90.7225,gas
56846,783.0,425.18499544626593,0.19694899817850636,RI,MW,1.0,CPV St Charles Energy Center,MD,38.5686,-76.8919,gas
1131,38.0,0.7979280510018215,0.9277094717668488,,,,Streeter Station,IA,42.5267,-92.4394,gas
55640,521.0,15.311361566484518,0.9131375227686703,,,,University Park North,IL,41.4425,-87.7514,gas
56015,72.0,0.009562841530054645,0.9997723132969034,,,,Bainbridge,GA,30.910985,-84.547304,oil
56078,249.0,179.84915755919855,0.09847449908925318,RI,MW,1.0,Walnut Energy Center,CA,37.4878,-120.8956,gas
63628,66.0,1.7169854280510017,0.9512750455373407,,,,Tinker,OK,35.414719,-97.373445,gas
2951,479.0,73.52117486338798,0.5653460837887068,"RI,RC",MW,2.0,Horseshoe Lake,OK,35.50866,-97.17969,gas
6138,557.0,292.3915072859745,0.15846994535519127,RC,,1.0,Flint Creek,AR,36.2561,-94.5241,coal
6137,172.0,5.859289617486339,0.924863387978142,,,,A B Brown,IN,37.9053,-87.715,gas
8012,370.0,0.33777322404371585,0.9971539162112932,,,,Croydon CT Generating Station,PA,40.08,-74.8917,oil
8029,154.0,1.1499316939890711,0.981443533697632,,,,Sycamore (IA),IA,41.6722,-93.6769,gas
55153,1132.0,751.2009335154827,0.053051001821493624,RI,MW,2.0,Guadalupe Generating Station,TX,29.6244,-98.1419,gas
55176,476.0,324.03745446265935,0.07240437158469945,RI,MW,1.0,Eastman Cogeneration Facility,TX,32.4481,-94.6903,gas
55708,115.0,24.622495446265937,0.6391165755919854,RI,MW,1.0,Nacogdoches Power,TX,31.832132,-94.90064,waste
55748,309.0,29.444444444444443,0.8016848816029144,RI,MW,2.0,Los Esteros Critical Energy Center,CA,37.425,-121.9319,gas
2001,26.0,0.042805100182149364,0.9982923497267759,,,,New Ulm,MN,44.3159,-94.4581,oil
3439,209.0,6.108492714025501,0.9392076502732241,,,,Laredo,TX,27.5667,-99.5089,gas
3453,763.0,56.827185792349724,0.6238615664845173,ON,,1.0,Mountain Creek,TX,32.7231,-96.9358,gas
3460,1449.0,372.35200364298726,0.3483606557377049,OC,,2.0,Cedar Bayou,TX,29.75,-94.9256,gas
7948,282.0,13.261042805100182,0.8801229508196722,,,,Lawrence County Station,IN,38.8003,-86.4511,gas
55230,1322.0,795.4437613843352,0.027891621129326048,RI,MW,2.0,Jack County,TX,33.101,-97.9574,gas
55395,301.0,14.832991803278688,0.9109744990892532,,,,Crossroads Energy Center,MS,34.183,-90.5621,gas
56480,56.0,0.5136612021857924,0.9857695810564663,,,,Marshfield Utilities Gas Plant,WI,44.634722,-90.134444,gas
56668,26.0,18.682604735883423,0.1930783242258652,,,,NIH Cogeneration Facility,MD,39.0,-77.0939,gas
10,1166.0,181.40698998178507,0.2084471766848816,ON,,1.0,Greene County,AL,32.6017,-87.7811,gas
60,325.0,150.1879553734062,0.13422131147540983,RI,MW,2.0,Whelan Energy Center,NE,40.580872,-98.312437,coal
2628,36.0,0.07843806921675774,0.9944216757741348,,,,Hillburn,NY,41.1269,-74.1653,gas
6074,241.0,20.60735428051002,0.7059426229508197,,,,Greenwood (MO),MO,38.8615,-94.2982,gas
7836,581.0,47.39355646630237,0.8348132969034608,,,,Marsh Run Generation Facility,VA,38.5283,-77.7681,gas
55501,1386.0,626.3542805100183,0.207764116575592,RI,MW,2.0,Kiamichi Energy Facility,OK,34.6831,-95.9349,gas
