lat,lon,enh_umol_m2,ndays,gppd_mw_within_25km,gppd_names,city_within_30km,orphan
36.867,43.013,58.2,446,1000.0,Duhok,Dihok(340k); Sumayl(152k),False
34.417,35.907,57.9,423,540.0,Deir Ammar; Hreishi,Tripoli(229k),False
34.803,48.508,57.5,442,0.0,,Hamadān(528k),False
36.797,43.258,56.9,432,0.0,,Dihok(340k); Sīnah(128k),False
29.482,48.227,56.9,512,5366.5,Sabiya,Ḩawallī(164k); As Sālimīyah(147k),False
32.388,44.343,56.8,533,0.0,,Al Hillah(455k); Al Hindīyah(139k),False
26.192,44.028,55.9,547,1715.1799999999996,QASSIM CENTRAL; BURAIDAH,Buraydah(745k); Unaizah(183k),False
36.447,52.323,55.2,259,0.0,,Āmol(237k),False
37.917,58.377,54.5,430,625.0,Abadan Power Plant Turkmenistan; Ashgabat OCGT Power Plant,Ashgabat(1030k),False
21.432,39.862,54.2,554,795.5999999999998,MAKKAH,Makkah(1578k),False
35.432,44.413,54.0,487,0.0,,Kirkuk(1031k),False
24.442,39.617,53.7,555,330.3,MADINAH - 2; MADINAH - 1,Madinah(1300k); Sulţānah(946k),False
32.352,53.758,53.5,528,0.0,,,True
30.427,49.138,53.2,535,1087.0,Fajr Petroshimi; Razi Petroshimi; Bandar Imam,Bandar-e Māhshahr(162k),False
33.962,51.413,53.0,514,0.0,,Kashan(304k); Kāshān(304k),False
38.722,35.523,53.0,384,0.0,,Kayseri(1452k),False
36.447,52.883,52.2,270,0.0,,Sari(255k); Qā’em Shahr(204k),False
23.462,58.273,51.4,568,1164.0,Rusail; AL GHUBRAH,Muscat(797k); Seeb(470k),False
36.903,34.752,50.9,454,0.0,,Mersin(537k); Tarsus(350k),False
27.207,60.547,50.0,559,324.0,Iranshahr GT,Iranshahr(131k),False
35.362,47.002,49.5,425,636.0,Sanandaj,Sanandaj(349k),False
24.057,52.743,49.5,567,4889.0,Shuweihat S1,,False
35.642,53.478,48.0,493,25.0,Semnan,Semnan(124k),False
32.597,44.062,47.8,540,0.0,,Karbala(1218k); Al Hindīyah(139k),False
25.317,56.348,47.6,522,3119.0,FAPCO (Fuj F2); ESWPC (Fuj F1); Khorfakkan Station (KHPS),Fujairah(118k),False
30.392,48.333,46.9,534,1774.0,Koramshahr; Abadan C.C.,Khorramshahr(330k); Abadan(231k),False
33.438,48.367,46.4,453,0.0,,Khorramabad(329k),False
16.952,42.663,44.7,547,1520.9000000000003,JAZAN,Şabyā(228k); Jizan(105k),False
28.712,53.583,44.5,529,2090.0,Jahrom; Jahrom; Kangan,Jahrom(141k),False
32.737,45.148,43.4,530,0.0,,,True
27.487,41.752,43.1,538,842.65,HAIL2; HAIL1,Ha'il(605k),False
37.078,37.377,42.7,426,0.0,,Gaziantep(2222k),False
36.203,37.168,42.5,470,1095.0,Aleppo Thermal Power Plant Syria; Aleppo OCGT Power Plant Syria,Aleppo(2098k),False
36.832,54.458,42.4,313,0.0,,Gorgān(244k),False
35.642,45.148,41.1,442,0.0,,Sulaymaniyah(878k),False
36.483,52.638,40.6,303,0.0,,Āmol(237k); Qā’em Shahr(204k),False
24.758,54.737,40.4,556,4631.0,TAPCO; Taweelah A1; Taweelah A2,,False
33.367,52.532,39.7,523,484.0,Ardestan,,False
31.898,34.928,39.6,493,2294.0,Tzafit (Dalia); Gezer; Tzafit,Tel Aviv(432k); Rishon LeTsiyyon(258k),False
