plant,mean,std,size,t,detectable,plant_name_eia,fuel,nox_lbs_h
6138,2.770891364966265,5.223987336036512,415,10.805414522501188,True,Flint Creek,coal,634.1194826958101
6139,3.609516768184079,6.151971050391462,402,11.763804734568506,True,Welsh,coal,1127.5430130919856
6146,10.883321114418605,7.584687163178751,387,28.227944388201266,True,Martin Lake,coal,1763.214963683969
6178,1.2126658429785073,4.614564646774036,335,4.809864190960394,False,Coleto Creek,coal,490.0767435109292
6179,4.531247300133838,6.322431044468846,396,14.262027078969037,True,Fayette Power Project,coal,1203.8662099271403
6190,2.444418605814815,4.73773673492069,324,9.287036694199774,True,Brame Energy Center,coal,693.8124554872492
6204,5.398750226591667,5.041172795308935,360,20.319494602842994,True,Laramie River Station,coal,1090.2703222905277
6249,1.986018606564306,4.967971116285412,353,7.510893491350191,False,Winyah,coal,472.4170712659379
6257,11.166219589235293,12.614529651028583,340,16.322044621688327,True,Scherer,coal,1643.2121293260504
628,4.819006671505618,5.286901140853507,356,17.198134333527385,True,Crystal River,gas,935.1401236338808
641,4.746078111806646,4.80042002840772,331,17.987451646069264,True,Crist,gas,323.0440804872494
6481,9.782016846708542,8.653301611460625,398,22.552157771097146,True,Intermountain Power Project,coal,1634.5814549180302
6641,4.958056052845361,5.401995972408275,388,18.07894314887425,True,Independence Steam Electric Station,coal,1210.8074390938068
6761,-5.816871882295597,15.214662890507764,318,-6.817744540761941,False,Rawhide,gas,170.61516438979942
703,11.389665176933754,12.594152134673825,317,16.101697123115756,True,Bowen,coal,1316.8400471311495
7210,0.6568003770297157,5.144371063217513,387,2.511635363497864,False,Cope,gas,226.96364628870663
7790,2.0167645558907044,6.1097602861621585,355,6.219352972743406,False,Bonanza,coal,977.7259730191262
8042,7.937048861295181,9.349400819633175,332,15.468361633059118,True,Belews Creek,gas,1872.6778335610177
8066,5.078844217580053,5.622577544071556,381,17.631608178546905,True,Jim Bridger,gas,681.1728181921671
8224,4.315832720839552,3.0191624436773963,268,23.40159827997421,True,North Valmy,coal,496.1485395036429
