design,model,n_dams,n_dam_months,anom_skill_vs_clim,skill_ci_lo,skill_ci_hi,anom_r_pooled,anom_r_median_per_dam,share_dams_r_gt_0.3,annual_anom_r,level_r2_within_dam,subset,horizon_months
strict (unseen dams AND test 2019-2025),persistence_lag3,327,26379,-0.1920525278965861,-0.26769663249236963,-0.11798077914574412,0.3998406703829773,0.19830260418220758,0.3180428134556575,0.9732179891701924,-0.27160579057175926,prereg,0
strict (unseen dams AND test 2019-2025),damped_persistence_lag1,327,26379,0.5171248024174757,0.4875636359362901,0.5464725728015788,0.7170066734667844,0.6440821701893465,0.9602446483180428,0.9947677144463308,0.4668732098594559,prereg,0
strict (unseen dams AND test 2019-2025),damped_persistence_lag3,327,26379,0.16314127763817787,0.132552466981165,0.19593973954247323,0.3999617974620894,0.19830260418220755,0.3180428134556575,0.973031998198434,0.09262936357531593,prereg,0
strict (unseen dams AND test 2019-2025),area_linear_pooled,327,26379,-0.008821079127907527,-0.04098313940411117,0.019580936957616056,0.19602951950731087,0.15516247207332498,0.26299694189602446,0.3062709367179124,-0.08213457555527737,prereg,0
strict (unseen dams AND test 2019-2025),ridge_area+climate,327,26379,0.09646114574700237,0.05531091964771236,0.13005587360990112,0.3437422259412881,0.3662249531991254,0.6207951070336392,0.46571847131434574,0.027869755089171222,prereg,0
strict (unseen dams AND test 2019-2025),gbm_area,327,26379,-0.00830867474392627,-0.05093529370133689,0.029891669907432403,0.24068829615406234,0.17222153941762608,0.308868501529052,0.3378488145774085,-0.0798733613347895,prereg,0
strict (unseen dams AND test 2019-2025),gbm_climate,327,26379,0.13648893905940207,0.11237978998378732,0.16002716718237814,0.36617989592554523,0.357545256415414,0.6024464831804281,0.5088970660000548,0.06899908632526508,prereg,0
strict (unseen dams AND test 2019-2025),gbm_area+climate,327,26379,0.1161337373290604,0.08215953239698738,0.15062530165330487,0.3757552922428634,0.3657340705807527,0.6085626911314985,0.5093822826211599,0.048965003444586874,prereg,0
strict (unseen dams AND test 2019-2025),gbm_persist3+area+climate,327,26379,0.24313782095429826,0.20681644366489507,0.27835345143535695,0.4976220171246874,0.3797750117523732,0.6452599388379205,0.8521311975859513,0.1762922730446349,prereg,0
"forward (train<=2018, test 2019-2025)",climatology,327,24404,0.0,0.0,0.0,,,0.0,,,prereg,6
"forward (train<=2018, test 2019-2025)",persistence_lag0,327,24404,-0.30550783455377384,-0.4467691542564539,-0.18332806149806077,0.5318666591474867,0.3009364836986412,0.5045871559633027,0.9431363260924341,,prereg,6
"forward (train<=2018, test 2019-2025)",persistence_lag1,327,24404,-0.5630267954945696,-0.7119684544344509,-0.39967877427313675,0.42584070869663426,0.16167414435792685,0.3211009174311927,0.9331800934803913,,prereg,6
"forward (train<=2018, test 2019-2025)",persistence_lag3,327,24404,-0.7546625966650902,-0.9436693411077836,-0.5968427167967273,0.34093438160588735,0.0808655530530783,0.21406727828746178,0.9095743350374432,,prereg,6
"forward (train<=2018, test 2019-2025)",damped_persistence_now,327,24404,0.2865398360306164,0.24354856886468976,0.3228945136132731,0.5318666591474878,0.30093648369864123,0.5045871559633027,0.9431363260924344,,prereg,6
"forward (train<=2018, test 2019-2025)",damped_persistence_lag3,327,24404,0.12000101069587044,0.09005585228793464,0.15128047077197496,0.34093438160588707,0.08086555305307833,0.21406727828746178,0.9095743350374436,,prereg,6
"forward (train<=2018, test 2019-2025)",area_linear_pooled,327,24404,-0.008686242589337256,-0.04930515544520548,0.026081799272339817,0.2084525569242222,0.1283475103165889,0.2599388379204893,0.3132461517505882,,prereg,6
"forward (train<=2018, test 2019-2025)",area_linear_per_dam,327,24404,-0.006963565585771603,-0.07443927002280945,0.057953950256660815,0.2594707657216169,0.11685647377021537,0.26299694189602446,0.36533906771815317,,prereg,6
"forward (train<=2018, test 2019-2025)",ridge_area+climate,327,24404,0.10437105247171163,0.05313980524739291,0.1466238558836085,0.3506211846481576,0.32285076872533774,0.5290519877675841,0.45870783728230335,,prereg,6
"forward (train<=2018, test 2019-2025)",gbm_area,327,24404,-0.0014155784821285877,-0.06272782408680816,0.04799219158846895,0.25431829552997187,0.10209269473147531,0.3058103975535168,0.35311283806882593,,prereg,6
"forward (train<=2018, test 2019-2025)",gbm_climate,327,24404,0.12328557171505194,0.0948934690286873,0.15219689402730838,0.3404858336442301,0.2622693406276948,0.43425076452599387,0.47057002998813896,,prereg,6
"forward (train<=2018, test 2019-2025)",gbm_area+climate,327,24404,0.07815391000711935,0.02709612207025198,0.1211254020139546,0.3445349454170129,0.23530777927266916,0.43730886850152906,0.4571419771508499,,prereg,6
"forward (train<=2018, test 2019-2025)",gbm_persist3+area+climate,327,24404,0.18099944302187654,0.1458225867255576,0.21875220705068155,0.43761710782421437,0.2222418086893391,0.41284403669724773,0.6892928522111575,,prereg,6
leave-dams-out (5-fold),climatology,399,92606,0.0,0.0,0.0,,,0.0,,,prereg,6
leave-dams-out (5-fold),persistence_lag0,399,92606,-0.2695295167927818,-0.3610996440797619,-0.18235118258573188,0.540604411238418,0.4672610236913193,0.7869674185463659,0.9020516880722567,,prereg,6
leave-dams-out (5-fold),persistence_lag1,399,92606,-0.5459454336639158,-0.6472659732239203,-0.43257123623083604,0.4372413702801633,0.35049004386516175,0.5864661654135338,0.8679915978959699,,prereg,6
leave-dams-out (5-fold),persistence_lag3,399,92606,-0.814985387611286,-0.9264652087378646,-0.6975644900433625,0.33922423944621755,0.25560477176434393,0.41854636591478694,0.8065937175285595,,prereg,6
leave-dams-out (5-fold),damped_persistence_now,399,92606,0.29176065029807696,0.26426376929891704,0.3178327035156384,0.5401273919470104,0.4672610236913194,0.7869674185463659,0.9017850285953056,,prereg,6
leave-dams-out (5-fold),damped_persistence_lag3,399,92606,0.11441400557045545,0.0936349827605695,0.1343178621254278,0.3382096621843138,0.25560477176434393,0.41854636591478694,0.8059448154692986,,prereg,6
leave-dams-out (5-fold),area_linear_pooled,399,92606,0.06918999439195983,0.05237821681010116,0.08834930195000378,0.2630300756759517,0.1279491002123851,0.2807017543859649,0.40190384165934034,,prereg,6
leave-dams-out (5-fold),ridge_area+climate,399,92606,0.1600159883415344,0.13571097300285279,0.1826975783333764,0.4000019231485683,0.3364449545938662,0.5588972431077694,0.5439769131878845,,prereg,6
leave-dams-out (5-fold),gbm_area,399,92606,0.10184434166350931,0.08139291332575647,0.12106755865774078,0.31924475131663443,0.204287168051441,0.38095238095238093,0.44040521823453804,,prereg,6
leave-dams-out (5-fold),gbm_climate,399,92606,0.17749841800833066,0.15495505971177106,0.20081895266304856,0.42177431149003536,0.3913404127000958,0.6892230576441103,0.5475279170480332,,prereg,6
leave-dams-out (5-fold),gbm_area+climate,399,92606,0.2044752071322109,0.1827673116482824,0.22755403921838216,0.4525663951503738,0.4084088405275363,0.6992481203007519,0.5893967059472102,,prereg,6
leave-dams-out (5-fold),gbm_persist3+area+climate,399,92606,0.2717255550717399,0.24880081304222532,0.2908379368966957,0.5221240683836007,0.4660738269154898,0.7794486215538847,0.7581163115740053,,prereg,6
strict (unseen dams AND test 2019-2025),climatology,327,24404,0.0,0.0,0.0,,,0.0,,,prereg,6
strict (unseen dams AND test 2019-2025),persistence_lag0,327,24404,-0.30550783455377384,-0.437910631437743,-0.18182337130784762,0.5318666591474874,0.3009364836986412,0.5045871559633027,0.9431363260924341,,prereg,6
strict (unseen dams AND test 2019-2025),persistence_lag1,327,24404,-0.5630267954945694,-0.734352936749673,-0.4036872001016982,0.42584070869663493,0.16167414435792685,0.3211009174311927,0.9331800934803913,,prereg,6
strict (unseen dams AND test 2019-2025),persistence_lag3,327,24404,-0.7546625966650902,-0.9174748858885922,-0.5838992531177465,0.3409343816058871,0.0808655530530783,0.21406727828746178,0.9095743350374432,,prereg,6
strict (unseen dams AND test 2019-2025),damped_persistence_now,327,24404,0.2870884160402041,0.2468353067469309,0.32446733309975245,0.5323677731027954,0.30093648369864123,0.5045871559633027,0.9430888603422677,,prereg,6
strict (unseen dams AND test 2019-2025),damped_persistence_lag3,327,24404,0.1208238785202006,0.08900837891625189,0.15153736251909142,0.3422451939073283,0.0808655530530783,0.21406727828746178,0.9092901629428525,,prereg,6
strict (unseen dams AND test 2019-2025),area_linear_pooled,327,24404,-0.012660101310876914,-0.05037079931699346,0.024782347112413138,0.20743418590477497,0.1283475103165889,0.2599388379204893,0.31012841976338523,,prereg,6
strict (unseen dams AND test 2019-2025),ridge_area+climate,327,24404,0.10317748582642117,0.05889689436536305,0.14942647502897494,0.3497790168222333,0.3261656167649322,0.5382262996941896,0.457987901699361,,prereg,6
strict (unseen dams AND test 2019-2025),gbm_area,327,24404,-0.014887953100436446,-0.06170358983664746,0.03173676707792893,0.23458739136263873,0.09788141885105144,0.3058103975535168,0.3253992674361157,,prereg,6
strict (unseen dams AND test 2019-2025),gbm_climate,327,24404,0.1096837903538167,0.07778994969232404,0.1416902245903797,0.3222113082472817,0.26726745537496527,0.44648318042813456,0.44872394721540826,,prereg,6
strict (unseen dams AND test 2019-2025),gbm_area+climate,327,24404,0.06979108152471691,0.02300718242068585,0.11811896332938077,0.33305698838633413,0.23108443121418476,0.42813455657492355,0.4430940208433968,,prereg,6
strict (unseen dams AND test 2019-2025),gbm_persist3+area+climate,327,24404,0.1700666119530242,0.1283124344455052,0.20339836443698675,0.42501812073714457,0.2095179985089218,0.40061162079510704,0.682372753468385,,prereg,6
"forward (train<=2018, test 2019-2025)",climatology,112,9124,0.0,0.0,0.0,,,0.0,,-0.030551098207981298,carryover,0
"forward (train<=2018, test 2019-2025)",persistence_lag1,112,9124,0.4254767879315916,0.36572462099452485,0.4775531162480188,0.7123523103622036,0.6472875471964725,0.9553571428571429,0.996223388156135,0.39679020720293245,carryover,0
"forward (train<=2018, test 2019-2025)",persistence_lag3,112,9124,-0.18751362094903157,-0.2880110538716828,-0.0774361311752138,0.40690489742435615,0.23905936512148374,0.4017857142857143,0.9782631564530896,-0.20721039207697545,carryover,0
"forward (train<=2018, test 2019-2025)",damped_persistence_lag1,112,9124,0.5070533055601489,0.463715958099991,0.5447420206443461,0.7123523103622039,0.6472875471964724,0.9553571428571429,0.9962233881561353,0.4650480350759838,carryover,0
"forward (train<=2018, test 2019-2025)",damped_persistence_lag3,112,9124,0.165292540232022,0.1222189074163877,0.21014837623929777,0.40690489742435604,0.23905936512148374,0.4017857142857143,0.9782631564530893,0.12468905156193066,carryover,0
"forward (train<=2018, test 2019-2025)",area_linear_pooled,112,9124,0.08599642526834006,0.04157408354298685,0.12552890732267016,0.3079444192344313,0.2972750274914748,0.49107142857142855,0.4385926473848428,0.05208315913036776,carryover,0
"forward (train<=2018, test 2019-2025)",area_linear_per_dam,112,9124,0.09397913248814149,0.01667331160518753,0.1552017127582204,0.34370550325839033,0.2972750274914747,0.49107142857142855,0.4881986849620074,0.06100487352198436,carryover,0
"forward (train<=2018, test 2019-2025)",ridge_area+climate,112,9124,0.1477528894253638,0.07158056772205024,0.20834654731225907,0.39474756764062335,0.43452592922713035,0.7232142857142857,0.5366700659615734,0.11444431309425607,carryover,0
"forward (train<=2018, test 2019-2025)",gbm_area,112,9124,0.11204965346171969,0.041359503908990215,0.1777466150578388,0.36968469202482274,0.31272328727320586,0.5446428571428571,0.5113571091519011,0.07906617367407653,carryover,0
"forward (train<=2018, test 2019-2025)",gbm_climate,112,9124,0.1759487297489355,0.12892364786553792,0.21507259868314454,0.419660198679953,0.39689600400381486,0.7410714285714286,0.5908782141366798,0.1417097372972692,carryover,0
"forward (train<=2018, test 2019-2025)",gbm_area+climate,112,9124,0.2040826727079439,0.12950174470561301,0.26910410359544873,0.46035262073586497,0.45495624616626706,0.7678571428571429,0.6209001360470277,0.16705099573711157,carryover,0
"forward (train<=2018, test 2019-2025)",gbm_persist3+area+climate,112,9124,0.287871607721359,0.23817079929618948,0.3410206811770027,0.5384715830014225,0.45047971385359964,0.7142857142857143,0.851594230023108,0.24353460390474746,carryover,0
leave-dams-out (5-fold),climatology,124,31461,0.0,0.0,0.0,,,0.0,,0.19874106579287876,carryover,0
leave-dams-out (5-fold),persistence_lag1,124,31461,0.42516369380151364,0.368971197619387,0.4916426935074082,0.7135646770513572,0.6885040174590085,0.9838709677419355,0.9893626116717213,0.5377468701635784,carryover,0
leave-dams-out (5-fold),persistence_lag3,124,31461,-0.14766965278336608,-0.24237048744850773,-0.06460130714330282,0.43288944768549675,0.37945999291634736,0.6209677419354839,0.9536295582663561,0.09860677968506582,carryover,0
leave-dams-out (5-fold),damped_persistence_lag1,124,31461,0.5090244053552663,0.4672170640069257,0.5495850127809587,0.7134595612077989,0.6885040174590085,0.9838709677419355,0.9893399447972163,0.5906298742978653,carryover,0
leave-dams-out (5-fold),damped_persistence_lag3,124,31461,0.18692840254698262,0.1498897928708627,0.223482980854117,0.4323521740469541,0.37945999291634747,0.6209677419354839,0.9535898101338668,0.3384649330287163,carryover,0
leave-dams-out (5-fold),area_linear_pooled,124,31461,0.12103272200479687,0.09645464449924765,0.14449988432633531,0.3479078314086934,0.36954207280309437,0.6290322580645161,0.4990257612674531,0.28861514585443915,carryover,0
leave-dams-out (5-fold),ridge_area+climate,124,31461,0.19642671919678012,0.15565626275232766,0.2309784846977546,0.4433008868995362,0.4555005121996979,0.8467741935483871,0.5844528557946627,0.34735130543816073,carryover,0
leave-dams-out (5-fold),gbm_area,124,31461,0.16386105162532238,0.12930233182375905,0.19506825090388388,0.4069171304073995,0.41349592480105996,0.6693548387096774,0.5473995882647427,0.32295227519663994,carryover,0
leave-dams-out (5-fold),gbm_climate,124,31461,0.20741616484252468,0.177125734400232,0.2437366778545981,0.45556920125074224,0.4424587929186159,0.75,0.5632670447996116,0.3568541824278404,carryover,0
leave-dams-out (5-fold),gbm_area+climate,124,31461,0.2546122281873302,0.21548320235687085,0.289490609724945,0.504877012616408,0.517758081230032,0.8467741935483871,0.6364567975390668,0.3916581275167277,carryover,0
leave-dams-out (5-fold),gbm_persist3+area+climate,124,31461,0.35967963612680365,0.32881247079582193,0.38891401742189635,0.6002017939492559,0.5900063516338565,0.9435483870967742,0.8511088067514412,0.4694681682132975,carryover,0
