name,iso3,gww_id,month,area_km2,n_obs,a0,z,alert_on,pred_gbm_area,pred_gbm_climate,pred_gbm_area+climate,pred_lo,pred_hi,p12
Ataturk,TUR,90461,2002-06-01,619.2428668464092,0,-0.04171124248172056,,False,-0.24569813095734022,0.24038028473794365,0.07209397299264629,-0.30070966823596784,0.5252068382199291,0.2835516671966024
Ataturk,TUR,90461,2002-07-01,619.66473603587,0,-0.04668977620976885,,False,-0.25939967692836036,0.2694420521583183,0.06387832317569928,-0.3092945813967011,0.4471798038818879,0.31542307397370056
Ataturk,TUR,90461,2002-08-01,620.0866052253307,1,-0.04552029701226235,,False,-0.2610075781852063,0.419087428309092,0.14455273366779772,-0.3244024422898524,0.8180552421630135,0.3548925935228106
Ataturk,TUR,90461,2002-09-01,618.4076805980162,2,-0.042901173418947405,,False,-0.2657544671782268,0.44994074201615997,0.13934910294712335,-0.3163455812362107,0.9166007058011925,0.40245309149600333
Ataturk,TUR,90461,2002-10-01,619.8977443766482,1,-0.03423285920039393,,False,-0.24775487662056014,0.4140815145622016,0.11159491988207126,-0.3051202013815186,0.8245705639568475,0.42385829468935077
Ataturk,TUR,90461,2002-11-01,621.6630762564324,1,-0.02282399492232204,,False,-0.23883662039563627,0.2613251399978737,0.07803021728720959,-0.2761785309008462,0.5927608731006956,0.3335901090252447
Ataturk,TUR,90461,2002-12-01,624.347247917875,1,-0.003495040716397934,,False,-0.10910473192024615,0.3219719242128948,0.18736518558627252,-0.14775055119312214,0.6267335874004082,0.24003966947124342
Ataturk,TUR,90461,2003-01-01,612.7838900180286,1,-0.02507477139775879,,False,-0.18451193095688698,0.2254774390622492,0.09924993190276583,-0.20463360747072581,0.41923967513522437,0.2069348527795492
Ataturk,TUR,90461,2003-02-01,634.0118165227244,1,-0.008300071370622237,,False,-0.11353833457168001,0.5060763754482971,0.31778262270259666,-0.09306171709789907,0.7575248401675122,0.3172533056068866
Ataturk,TUR,90461,2003-03-01,639.9652669168553,0,-0.006831021780362238,,False,-0.02985812617932786,0.4548147367336526,0.3604274293679566,-0.09068778181887781,0.6793585584241404,0.3258070304258548
Ataturk,TUR,90461,2003-04-01,645.918717310986,0,0.004624958693144971,,False,-0.025688347803888154,0.5388034675823072,0.43949000251915543,-0.1056461983617557,0.8831816166103719,0.32178720062878846
Ataturk,TUR,90461,2003-05-01,651.8721677051169,2,0.005832903336893314,,False,0.013707341503035347,0.40344861757197115,0.360870927354508,-0.0735904480417031,0.718639328452332,0.3216205589993754
Ataturk,TUR,90461,2003-06-01,651.8675435875865,0,0.009137371474636193,,False,0.017161953254715947,0.2743812540629434,0.19889240846373696,-0.11614619510714111,0.5306590443639384,0.2574218715376849
Ataturk,TUR,90461,2003-07-01,651.8629194700562,0,0.0034941079871422345,,False,0.012957347215934261,0.17579784992726818,0.15318089753912711,-0.16531206158969655,0.5116018653083027,0.23169642451982153
Ataturk,TUR,90461,2003-08-01,651.8582953525258,1,0.003998857425202885,,False,0.019309683848738195,0.2813401867645451,0.20656249174672858,-0.1201138531873708,0.535767629665665,0.18893100902957688
Ataturk,TUR,90461,2003-09-01,650.6907166173281,1,0.007414961478207617,,False,0.007684729694589233,0.30658945836987567,0.23916697819392618,-0.11186360793959377,0.6410306277047686,0.17585580916325783
Ataturk,TUR,90461,2003-10-01,651.284473462576,1,0.01468629740319434,,False,0.013468908753853696,0.2778773739892652,0.23525318268076803,-0.11351438691530483,0.8413379408483439,0.2299406024551188
Ataturk,TUR,90461,2003-11-01,652.6746680503029,0,0.025510475080513566,,False,0.053957522073597615,0.34979430064812844,0.34651561156310484,-0.08832271528589627,1.0314503961693975,0.2930289722969075
Ataturk,TUR,90461,2003-12-01,654.0648626380297,0,0.04282264483791294,,False,0.11326011461220008,0.30720433996729946,0.34501843872862187,-0.08266705477783738,0.8522261903553704,0.2712316235583128
Ataturk,TUR,90461,2004-03-01,658.2354464012103,1,0.02164476392269617,,False,0.2258386764535326,0.23470412893302167,0.3329914576259072,-0.08007389717185784,0.8590688627285543,0.22980388904633922
Ataturk,TUR,90461,2004-04-01,619.3489325233371,2,-0.03678653912149631,,False,-0.026485324143175556,0.2440974660126433,0.19286991916986,-0.08288112756911645,0.5988405960957182,0.20060376982937864
Ataturk,TUR,90461,2004-05-01,659.8684596855036,1,0.018295873229857873,,False,0.05113407144105799,0.25120307389869223,0.2949163829411528,-0.08206793115077943,0.7815494282806745,0.28234880491219766
