gww_id,name,reservoir_name,country,truth,lat,lon,n_plants,capacity_mw,match_method,gww_poly_km2,res_time_days,depth_avg_m,vol_mcm,dis_avg_m3s,elevation_m,wshd_km2,head_m,dam_height_m,glo_plant_type,ons_tipo,ba,state,n_area_months,area_mean,area_sd,area_p05,area_p95,area_cv,area_range_rel,pass_size,pass_months,pass_cv,storage_dam
47768,Ralston,Oxbow Reservoir,USA,eia923,39.000999,-120.725053,2,85.3,gww_polygon,0.5869016157705762,,,,,,,26.517600000000005,,STO,,CISO,CA,294,0.31803156501646046,0.09189005174884023,0.22269511299533842,0.4930283710562181,0.28893374701370994,0.8500202111915778,False,True,True,False
47836,Sullivan,,USA,eia923,45.354004,-122.618954,1,15.399999999999999,gww_polygon,0.5890135566356526,,,,,,,11.76528,12.192,ROR,,PGE,OR,237,0.39644701380474023,0.01592687722853429,0.37685987604326626,0.4263232228823941,0.040174037573602876,0.12476660213536062,False,True,True,False
47966,Aratiatia,Taupo,New Zealand,none,-38.6158,176.1425,1,78.0,hydrolakes_pour,0.590116866533804,1.1,42.1,10.94,114.17,342.0,3581.9,33.5,-99.0,ROR,,,,232,0.28706351276022163,0.02312736305319751,0.25295465298664677,0.32919594223673027,0.08056531751743501,0.2655903166410644,False,True,True,False
48134,Artouste Hydroelectric Power Station France - Artouste Hydroelectric Power Station France,,France,none,42.887,-0.411,1,88.0,gww_polygon,0.5935893064985724,,,,,,,746.0,30.0,STO,,,,157,0.3054876463595792,0.06942278244621627,0.17949122417596258,0.3915484345428945,0.22725233990149984,0.694159691542245,False,True,True,False
48235,SEWA-II,,India,none,32.6762,75.8215,1,120.0,gww_polygon,0.5945126231567833,,,,,,,560.0,53.0,ROR,,,,182,0.3258124931512171,0.04815220319297166,0.2506581005302788,0.39572408243969714,0.14779115044745417,0.4452437673778515,False,True,True,False
48317,Deerfield 3,,USA,eia923,42.5995,-72.7335,2,9.600000000000001,gww_polygon,0.5975151309908558,,,,,,,19.5072,,STO,,ISNE,MA,200,0.1536904161713878,0.022285892781990814,0.1302013259792044,0.196660128321774,0.1450050909949955,0.43241995173243675,False,True,True,False
48456,Kashhatau HPP of the Cascade of Nizhne-Cherekskiye HPPs,,Russia,none,43.3304,43.6463,1,65.1,gww_polygon,0.6009798227245032,,,,,,,100.0,,STO,,,,160,0.2655096431286077,0.038108425004923875,0.20177287474716413,0.3230411104865867,0.14352934438040316,0.45673759457648994,False,True,True,False
48549,MikÅ¡ovÃ¡ Miskova Hydroelectric Power Plant Slovakia - Miskova Hydroelectric Power Plant Slovakia,vodná nádrž Mikšová,Slovakia,none,49.19271,18.50829,1,93.6,gww_polygon,0.6037805014029269,,,,,,,22.0,,Canal,,,,213,0.34720560839517306,0.01987540037659296,0.3253274883156346,0.38425720102048383,0.057243892080140926,0.16972569359472495,False,True,True,False
48590,Miranda,,Portugal,none,41.4886,-6.2656,1,369.0,hydrolakes_pour,0.6034560397855365,1.2,153.0,28.0,274.868,512.0,63327.5,66.0,80.0,ROR,,,,255,0.29385773763876766,0.030303044879298118,0.2574291278580071,0.35156486542033183,0.10312148021961882,0.320344593675609,False,True,True,False
48965,Oconto Falls Lower,Oconto Falls Pond,USA,eia923,44.8719,-88.1439,3,4.1,gww_polygon,0.6111318279720989,,,,,,,,,,,MISO,WI,215,0.3541670381723493,0.025152281550819923,0.32111657964535056,0.39863047453006445,0.07101813223674418,0.2188625324499935,False,True,True,False
