month,date,scene_cloud,valid_frac,water_km2_scene,water_km2_filled
2021-09,2021-09-11,14.501400857142857,0.920928866964962,537.9433513269857,558.7174890209471
2021-10,2021-10-21,3.2190906249999998,0.9943860548423059,419.7964344155476,434.71629138164576
2021-11,2021-11-25,0.0038097499999999998,0.9999993983554648,377.83048519791765,377.83048519791765
2021-12,2021-12-10,0.0030361249999999998,0.9999771375076635,371.60646042408416,371.60646042408416
2022-01,2022-01-29,0.03446250000000001,0.9984327159858758,326.935901981301,326.935901981301
2022-02,2022-02-23,0.6030129999999999,0.9929090175084576,319.45885571834594,320.4106042811213
2022-03,2022-03-20,0.0007613749999999999,0.9999993983554648,314.3646044183106,314.3646044183106
2022-04,2022-04-29,3.1041814000000003,0.9562002778394464,283.0869969740075,283.0869969740075
2022-05,2022-05-24,7.982593,0.47961357574794944,148.96576785425955,239.64891868445875
2022-06,2022-06-18,15.564591,0.06676028255633949,0.6573227483916583,240.0871338500532
2022-07,2022-07-08,20.419122,0.05854362313948948,0.0,240.0460511782787
2022-08,2022-08-27,25.119506,0.6668411435818666,569.6043970411839,632.173306153715
2022-09,2022-09-11,6.5077915,0.4816441260541564,561.1961435513407,710.0112749424271
2022-10,2022-10-16,14.988886333333333,0.9090349561491381,736.858800947049,804.617820927089
2022-11,2022-11-25,5.1500000000000005e-05,1.0,738.5979673855019,738.5979673855019
2022-12,2022-12-15,0.01282175,0.9995295139734951,717.8786065872398,718.5222351117067
2023-01,2023-01-04,0.0001225,1.0,684.4304646508517,684.4304646508517
2023-02,2023-02-08,0.00037424999999999996,0.999996390132789,624.018395806481,624.018395806481
2023-03,2023-03-05,0.1901145,0.9959058089381515,561.7713009561834,606.4555536228913
2023-04,2023-04-09,1.300859,0.999996390132789,584.7502087020417,584.7775971498914
2023-05,2023-05-24,3.4636225,0.9742857125667299,564.284191046389,565.1195387058034
2023-06,2023-06-03,16.83657,0.4029718833459378,291.01595262648186,488.31548382341555
2023-07,2023-07-28,0.6445715000000001,0.5315505402467103,557.7999760179838,693.5097351130115
2023-08,2023-08-07,18.333626,0.040124275695185216,0.0,693.5097351130115
2023-09,2023-09-01,5.2561395,0.8534411961655991,735.7838043689501,915.9450143239637
2023-10,2023-10-06,2.8621278000000006,0.9732815678375271,1112.6283054442802,1162.3931151870986
2023-11,2023-11-25,4.7541139999999995,0.9682109076950938,1137.0040240304709,1137.2505200611179
2023-12,2023-12-10,0.007699,0.9999969917773242,1094.675177878833,1094.675177878833
2024-01,2024-01-04,0.00043699999999999994,1.0,1030.894329948955,1030.894329948955
2024-02,2024-02-23,9.39329725,0.9837188972336985,800.3109875027312,868.049466146884
2024-03,2024-03-09,0.00034175,0.9999981950663945,984.6968655385538,984.6968655385538
2024-04,2024-04-13,0.88523775,0.9996769168846124,920.3066246440209,922.7715849504896
2024-05,2024-05-08,1.42395925,0.997428571256673,867.0840233601838,867.2141184874697
2024-06,2024-06-07,11.7072935,0.9517059931617082,874.3556562642665,910.1044278200253
2024-07,2024-07-27,39.414248,0.24180575184208516,18.26809471571817,916.8009033192653
2024-08,2024-08-31,22.998666,0.4039429376257061,369.79197575404464,1050.1963385709976
2024-09,2024-09-20,5.394732250000001,0.9660582235482468,1421.241335814164,1450.2730905347953
2024-10,2024-10-15,12.3122815,0.8888786609317909,1435.2094442174866,1477.7779392878087
2024-11,2024-11-19,0.5456105,0.9844535052111442,1469.0136359759201,1471.4032780508023
2024-12,2024-12-19,0.00028425,0.9999969917773242,1429.7865315432553,1429.7865315432553
2025-01,2025-01-28,8.625000000000001e-05,1.0,1437.0033875516388,1437.0033875516388
2025-02,2025-02-27,0.954492,0.9923735538721542,1356.8100122478565,1421.275571373976
2025-03,2025-03-16,0.00031625,0.9999993983554648,1386.355300365669,1386.355300365669
2025-04,2025-04-18,0.040867499999999994,0.9999127615423999,1312.1531480289982,1313.0706610319614
2025-05,2025-05-08,8.857688499999998,0.9279223830418065,1290.13968306984,1305.538837873307
2025-06,2025-06-02,3.31671025,0.9681116363467903,1240.580286685894,1244.8391903265149
2025-07,2025-07-14,28.023365,0.21409460619657772,237.40306596078725,1248.1258040684731
2025-08,2025-08-16,17.821756,0.40111941982214183,935.705779447488,1337.309437378904
2025-09,2025-09-15,14.08442,0.9497987799852116,1456.3807144052678,1521.0516868902596
2025-10,2025-10-25,4.75076825,0.9342757493332274,1560.1623904195633,1567.5709655628943
2025-11,2025-11-21,0.10495125000000001,0.9995331238407061,1530.9936934596835,1531.0279290194956
2025-12,2025-12-21,0.05961075,1.0,1476.0319257373935,1476.0319257373935
2026-01,2026-01-03,0.0001475,0.9999993983554648,1486.432688808299,1486.432688808299
2026-02,2026-02-17,0.0002355,0.9999981950663945,1388.8955789037243,1388.8955789037243
2026-03,2026-03-09,0.00014525,1.0,1338.172173486168,1338.172173486168
2026-04,2026-04-30,0.6326359999999998,0.9998874924719228,1253.7062003178398,1254.9112920232246
2026-05,2026-05-23,4.393826,0.9938662339639169,1191.3495516761436,1194.5676942984778
2026-06,2026-06-12,5.952100333333334,0.6315396504806238,448.7871064644047,1188.453223316043
2026-07,2026-07-27,9.457336,0.861619350332198,674.4542225216159,1054.9550813848746
2026-08,2026-08-28,10.717528999999999,0.8603155866244794,1264.065880716971,1324.5943504647028
2026-09,2026-09-05,13.80378825,0.9102899866495078,1269.8448432132475,1322.7113946750392
