i,j
455,1157
455,1172
455,1186
455,1201
456,301
456,1051
456,1081
456,1082
456,1147
456,1202
457,943
457,1043
457,1074
457,1158
457,1184
457,1203
457,1204
458,878
458,938
458,1166
458,1191
458,1192
459,290
459,907
459,988
459,1091
459,1174
459,1194
459,1204
459,1207
460,941
460,988
460,989
460,1011
460,1018
460,1026
460,1056
460,1062
460,1074
460,1117
460,1126
460,1131
460,1188
460,1194
460,1204
460,1206
460,1207
461,941
461,942
461,993
461,1018
461,1023
461,1052
461,1062
461,1068
461,1161
461,1206
462,306
462,316
462,320
462,993
462,994
462,1047
462,1060
462,1061
462,1065
462,1135
462,1196
463,319
463,1006
463,1059
463,1063
463,1077
463,1096
463,1172
463,1180
464,327
464,330
464,1061
464,1062
464,1066
464,1086
464,1197
465,896
465,920
465,922
465,1012
465,1033
465,1087
465,1091
465,1144
465,1190
465,1200
466,920
466,1019
466,1041
466,1042
466,1086
466,1127
466,1139
466,1147
466,1166
467,1023
467,1032
467,1044
467,1053
467,1074
468,1004
468,1023
468,1025
468,1044
468,1170
468,1180
469,845
469,1030
469,1032
469,1034
469,1135
469,1141
469,1166
470,887
470,1160
470,1175
471,658
471,995
471,1061
471,1148
471,1172
471,1173
471,1178
471,1180
471,1203
472,1013
472,1022
472,1032
472,1185
472,1203
473,1020
473,1028
473,1038
473,1056
473,1172
473,1175
474,655
474,665
474,866
474,1001
474,1028
474,1029
474,1169
474,1192
475,296
475,1028
475,1029
475,1030
475,1035
475,1139
475,1183
475,1206
476,276
476,666
476,912
476,1029
476,1031
476,1035
476,1142
476,1167
476,1195
476,1199
476,1200
477,843
477,1007
477,1139
477,1172
477,1200
478,326
478,930
478,963
478,1005
478,1007
478,1017
478,1135
478,1140
478,1146
478,1200
479,339
479,1084
479,1101
479,1177
479,1184
480,845
480,850
480,1045
480,1132
480,1135
480,1139
480,1180
480,1202
480,1203
480,1206
480,1209
481,329
481,393
481,845
481,948
481,988
481,1006
481,1012
481,1032
481,1169
481,1180
481,1201
481,1205
482,682
482,911
482,1142
482,1147
482,1177
482,1180
482,1188
483,844
483,1012
483,1014
483,1027
483,1136
483,1144
483,1153
483,1154
483,1165
483,1190
483,1200
483,1203
483,1205
483,1206
484,845
484,846
484,905
484,1016
484,1018
484,1023
484,1169
484,1176
484,1195
484,1205
484,1206
485,840
485,849
485,915
485,1009
485,1022
485,1137
485,1138
485,1150
485,1194
485,1199
485,1202
485,1204
485,1206
486,983
486,1012
486,1013
486,1017
486,1018
486,1020
486,1139
486,1201
486,1204
486,1205
486,1206
486,1207
486,1242
487,294
487,688
487,861
487,1004
487,1016
487,1147
487,1173
487,1186
487,1189
487,1194
487,1200
487,1202
487,1203
487,1244
488,800
488,864
488,1009
488,1011
488,1017
488,1169
488,1176
488,1195
488,1201
488,1203
489,276
489,688
489,859
489,1017
489,1193
489,1198
490,252
490,860
490,863
490,896
490,1016
490,1017
490,1018
490,1143
490,1198
490,1200
490,1242
491,251
491,258
491,331
491,333
491,652
491,927
491,1019
491,1156
491,1163
491,1188
491,1192
491,1243
492,773
492,1002
492,1148
492,1170
492,1176
492,1183
492,1189
493,897
493,898
493,1201
494,272
494,313
494,690
494,865
494,898
494,1012
494,1176
494,1196
494,1242
494,1253
495,382
495,1012
495,1160
495,1173
495,1179
495,1188
495,1243
495,1251
496,245
496,246
496,247
496,693
496,698
496,700
496,862
496,919
496,1005
496,1006
496,1014
496,1019
496,1175
496,1183
496,1187
496,1193
497,246
497,908
497,969
497,1014
497,1149
497,1155
497,1156
497,1189
497,1256
498,241
498,997
498,1143
498,1158
498,1183
498,1197
498,1250
498,1255
498,1262
498,1266
499,712
499,850
499,852
499,853
499,867
499,914
499,924
499,1012
499,1165
499,1170
499,1175
499,1177
499,1190
499,1232
499,1256
499,1259
499,1261
499,1262
499,1270
499,1271
500,293
500,360
500,852
500,855
500,856
500,1164
500,1189
500,1193
500,1230
500,1236
500,1263
500,1267
500,1268
500,1274
501,360
501,397
501,708
501,821
501,853
501,1167
501,1173
501,1175
501,1182
501,1228
501,1234
501,1235
501,1236
501,1252
501,1268
501,1278
502,330
502,816
502,863
502,898
502,902
502,1147
502,1186
502,1188
502,1198
502,1226
502,1237
502,1259
502,1277
502,1278
502,1279
502,1280
503,395
503,697
503,717
503,778
503,924
503,926
503,1151
503,1177
503,1180
503,1189
503,1195
503,1229
503,1233
503,1234
503,1277
503,1279
503,1280
504,373
504,777
504,778
504,876
504,1135
504,1166
504,1178
504,1198
504,1202
504,1227
504,1228
504,1235
504,1279
504,1280
505,259
505,324
505,373
505,698
505,869
505,892
505,896
505,958
505,1172
505,1187
505,1188
505,1191
505,1200
505,1229
505,1230
505,1274
505,1281
506,1178
506,1184
506,1266
506,1280
507,239
507,241
507,702
507,710
507,732
507,761
507,859
507,988
507,1127
507,1188
507,1192
507,1196
507,1200
507,1205
507,1225
507,1227
507,1229
507,1230
507,1269
507,1419
508,688
508,843
508,861
508,870
508,1178
508,1203
508,1232
509,232
509,689
509,918
509,1192
509,1225
509,1227
509,1228
509,1233
510,696
510,900
510,1141
510,1165
510,1185
510,1194
510,1206
510,1208
510,1227
510,1228
510,1229
511,230
511,617
511,618
511,685
511,705
511,850
511,1170
511,1171
511,1174
511,1183
511,1223
511,1227
511,1228
512,685
512,773
512,814
512,815
512,881
512,905
512,954
512,1131
512,1145
512,1178
512,1179
512,1219
512,1227
512,1276
513,377
513,718
513,807
513,815
513,873
513,1187
513,1283
513,1284
514,234
514,235
514,605
514,684
514,690
514,812
514,829
514,894
514,995
514,1145
514,1171
514,1285
515,683
515,684
515,685
515,862
515,1171
515,1182
515,1285
516,412
516,815
516,1122
516,1146
516,1191
516,1206
516,1223
517,414
517,683
517,686
517,754
517,812
517,1189
518,718
518,1024
518,1159
518,1187
519,233
519,300
519,375
519,704
519,829
519,842
519,988
519,1140
519,1160
519,1193
519,1212
520,388
520,419
520,684
520,806
520,851
520,885
520,898
520,1173
520,1186
520,1188
520,1198
520,1230
521,273
521,691
521,807
521,836
521,898
521,999
521,1024
521,1218
522,422
522,705
522,707
522,805
522,812
522,920
523,272
523,273
523,424
523,425
523,686
523,777
523,783
523,812
523,1009
523,1150
523,1159
523,1160
523,1167
523,1179
523,1203
523,1209
524,725
524,824
524,835
524,836
524,1007
524,1173
524,1192
524,1205
524,1208
524,1212
525,685
525,686
525,689
525,997
525,1041
525,1198
525,1208
525,1213
525,1215
526,685
526,722
526,729
526,811
526,821
526,1095
527,367
527,369
527,685
527,716
527,717
527,730
527,769
527,775
527,776
527,899
527,1065
527,1214
527,1224
528,690
528,723
528,731
528,770
528,1207
528,1211
528,1216
529,388
529,436
529,705
529,727
529,767
529,803
529,805
529,998
530,725
530,726
530,771
530,772
530,777
530,806
531,801
531,804
531,805
531,813
531,821
531,1018
532,368
532,428
532,720
532,791
532,803
532,820
532,910
532,1247
532,1285
533,399
533,400
533,401
533,697
533,708
533,725
533,742
533,744
533,775
533,808
533,832
533,1027
533,1028
533,1218
533,1285
534,398
534,401
534,696
534,697
534,714
534,726
534,761
534,768
534,786
534,1028
534,1042
535,401
535,402
535,690
535,749
535,762
535,764
535,774
535,788
535,793
535,794
535,806
535,819
535,824
535,830
535,1070
535,1221
535,1226
536,764
536,782
536,793
536,806
536,808
536,812
536,1221
537,407
537,791
537,792
537,815
537,824
537,1064
538,756
538,794
538,795
538,797
538,802
538,804
538,824
538,825
538,854
538,1239
539,718
539,783
539,789
539,801
539,802
539,803
539,805
539,825
539,899
540,423
540,718
540,751
540,762
540,765
540,782
540,799
540,805
540,876
541,229
541,743
541,758
541,763
541,775
541,778
541,784
541,793
541,799
541,1093
542,229
542,417
542,426
542,754
542,757
542,761
542,775
542,779
542,787
543,229
543,739
543,740
543,749
543,758
543,781
543,784
543,795
543,802
543,805
543,817
543,822
543,1227
544,453
544,756
544,773
544,778
544,784
544,793
545,479
545,715
545,718
545,730
545,745
545,756
545,760
545,777
545,778
545,780
545,781
545,782
545,783
545,787
545,801
545,912
546,252
546,428
546,746
546,763
546,783
546,784
546,785
546,843
546,1220
547,337
547,404
547,435
547,748
547,771
547,782
547,785
547,814
547,815
547,1241
547,1245
548,282
548,750
548,754
548,782
548,792
548,796
548,798
548,799
548,835
549,753
549,766
549,767
549,782
549,783
549,793
549,816
549,830
549,831
549,879
549,1216
549,1241
550,231
550,718
550,725
550,745
550,750
550,751
550,752
550,754
550,763
550,767
550,781
550,794
550,796
550,797
550,807
551,757
551,758
551,772
551,775
551,778
551,786
551,787
551,791
551,793
551,800
551,860
551,1107
552,721
552,754
552,775
552,785
552,789
552,791
552,803
552,807
552,854
552,871
552,1148
553,766
553,777
553,778
553,782
553,784
553,785
553,786
553,787
553,788
553,789
553,790
553,791
553,792
553,799
553,802
554,731
554,789
554,795
554,805
554,860
554,1260
555,712
555,718
555,729
555,730
555,745
555,749
555,757
555,784
555,789
555,805
555,807
555,898
556,229
556,231
556,255
556,743
556,796
556,797
556,798
556,803
556,805
556,807
556,808
557,224
557,228
557,711
557,712
557,742
557,745
557,747
557,786
557,787
557,791
557,795
557,805
558,392
558,744
558,745
558,764
558,780
558,782
558,784
558,792
559,260
559,733
559,745
559,755
559,773
559,774
559,787
559,792
559,793
559,794
559,795
559,816
560,260
560,331
560,335
560,755
560,777
560,778
560,781
560,794
560,799
560,800
560,811
560,865
561,289
561,744
561,753
561,768
561,777
561,781
561,783
561,806
561,807
561,949
562,733
562,738
562,739
562,742
562,751
562,760
562,774
562,775
562,787
562,842
563,707
563,732
563,733
563,737
563,738
563,775
563,776
563,780
563,790
564,264
564,714
564,732
564,733
564,738
564,740
564,741
564,742
564,747
564,748
564,775
564,783
564,788
564,803
565,263
565,711
565,719
565,737
565,738
565,747
565,756
565,769
565,788
565,810
565,1006
566,718
566,719
566,720
566,739
566,741
566,743
566,747
566,748
566,750
566,805
566,904
567,709
567,724
567,737
567,743
567,764
567,798
567,877
567,940
568,684
568,686
568,737
568,738
568,740
568,741
568,743
568,762
568,802
568,806
569,265
569,685
569,689
569,694
569,711
569,738
569,739
569,740
569,746
569,748
569,759
569,762
569,804
569,805
569,1137
569,1219
570,712
570,725
570,738
570,739
570,774
570,788
570,804
570,844
570,878
571,684
571,692
571,740
572,708
572,755
572,792
573,684
573,692
573,693
573,694
573,695
573,696
573,746
573,755
573,813
573,900
573,921
573,1055
574,266
574,688
574,695
574,708
574,711
574,714
574,754
574,760
574,778
574,917
575,409
575,687
575,689
575,695
575,708
575,709
575,714
575,755
575,1069
576,268
576,691
576,807
576,830
577,782
577,914
578,688
578,696
578,714
578,757
578,791
579,715
579,821
579,879
579,944
580,689
580,815
580,816
580,1013
580,1052
581,245
581,256
581,966
581,1064
582,772
582,824
583,276
583,703
583,769
583,770
583,805
583,870
583,916
583,930
584,707
584,771
584,1092
585,758
585,761
585,805
585,811
585,896
586,276
586,804
586,829
586,1060
587,785
587,815
587,933
587,962
588,760
588,816
589,273
589,982
590,806
591,768
591,793
591,879
592,945
593,827
594,783
594,785
594,807
594,919
595,827
596,743
596,759
597,759
597,764
597,791
597,792
597,793
598,763
598,792
598,819
598,824
598,829
598,833
599,761
599,791
599,795
599,805
600,762
600,763
600,764
600,790
600,841
600,842
601,741
601,784
601,816
601,819
601,820
602,830
604,764
604,823
604,833
606,807
606,815
606,816
607,784
609,823
610,789
612,831
613,779
614,761
614,762
615,781
616,632
616,633
617,632
617,633
619,129
619,804
620,822
624,651
625,777
632,817
639,796
