id,obs,cams,n,sd,region,cc,kind,lat,lon,name,r_daily
3599600,17.83246356877816,14.720495,74,24.6464108696326,Other Asia,LA,lowcost,19.225034,102.25219,pm1|pm25|relativehumidity|temperature|um003,0.7848601273469029
3600182,17.726400479462754,13.268056,69,20.075461903408982,Other Asia,LA,lowcost,17.075181,104.87732,pm1|pm25|relativehumidity|temperature|um003,0.8706523331118586
3600183,16.738570232684282,13.555834,50,23.79139959498258,Other Asia,LA,lowcost,15.697405,106.07474,pm1|pm25|relativehumidity|temperature|um003,0.8704203749061609
3600716,23.05236279451799,20.145428,72,19.865949374232073,Other Asia,LA,lowcost,20.710206,104.384946,pm1|pm25|relativehumidity|temperature|um003,0.7412860161356881
3602359,17.745042344066796,16.324244,66,23.08990525684746,Other Asia,VN,lowcost,19.49661,103.986121,pm1|pm25|relativehumidity|temperature|um003,0.8054507521409583
3602893,13.312859554919653,7.2715187,73,11.372873025641232,Europe,GB,lowcost,54.53891924277622,-1.564996616690009,pm1|pm25|relativehumidity|temperature|um003,0.6843022728194804
3609,9.012517130221188,9.2368965,76,6.875980058857329,Europe,FR,reference_likely,49.35833700015846,6.156942000146252,no2|pm10|pm25,0.5186109868520774
3612960,36.09519175241467,20.257519,46,26.13002697828543,Other Asia,LA,lowcost,18.068595,102.535866,pm1|pm25|relativehumidity|temperature|um003,0.7690568670515648
3612961,13.664322393162383,13.00725,50,19.564823421420794,Other Asia,LA,lowcost,20.962029,100.82109,pm1|pm25|relativehumidity|temperature|um003,0.6907156831769642
3612962,25.93249347113526,18.755615,69,28.0477465755175,Other Asia,LA,lowcost,21.190223,101.144937,pm1|pm25|relativehumidity|temperature|um003,0.651012544051401
3612963,8.561099546035198,7.6217017,48,10.607714706907986,Other Asia,LA,lowcost,19.520634,102.884798,pm1|pm25|relativehumidity|temperature|um003,0.32719663907052193
3612964,13.051132951475672,12.723819,60,16.916128905647206,Other Asia,TH,lowcost,17.910218,101.670662,pm1|pm25|relativehumidity|temperature|um003,0.8368474176087183
3612965,24.614240263770743,21.858004,63,24.10529649111718,Other Asia,LA,lowcost,18.48451,102.485942,pm1|pm25|relativehumidity|temperature|um003,0.8527375216044807
3612966,15.981134051841213,12.751723,58,18.472335452114315,Other Asia,LA,lowcost,16.367044,105.005653,pm1|pm25|relativehumidity|temperature|um003,0.9170018021839353
361378,39.539757084052226,27.684021,79,28.6236400541154,South Asia,IN,reference_likely,23.210494,77.425409,co|no|no2|o3|pm10|pm25|relativehumidity|so2|temperature,0.7305166035999254
3617277,6.754852195913108,19.846573,62,11.118607667419761,Sub-Saharan Africa,SN,lowcost,14.794498116325476,-16.96105368259619,pm1|pm25|relativehumidity|temperature|um003,0.2523182588703231
3624137,9.05701130173684,9.226389,57,18.285643488238264,Other Asia,LA,lowcost,15.784384,106.906754,pm1|pm25|relativehumidity|temperature|um003,0.9446050189959884
3624655,14.502190087889684,14.343503,59,23.945617303474464,Other Asia,LA,lowcost,17.171532,105.4273,pm1|pm25|relativehumidity|temperature|um003,0.920490338519764
364,19.056119251903983,13.032723,82,4.151345208428372,South America,CL,reference_likely,-22.44283906304,-68.932546346863,pm10|pm25,0.17218911754858346
3663294,14.294116474074249,10.904399,72,17.737556255405227,Other Asia,LA,lowcost,15.891245,105.567119,pm1|pm25|relativehumidity|temperature|um003,0.8847514034554737
3665380,26.666475124940547,8.402203,70,24.013442189240248,North/Central America,MX,reference_likely,31.65517,-106.46629,pm25,0.45010281596366036
366617,4.782508051529791,6.3509727,90,2.6271765921069017,Oceania,AU,reference_likely,-26.6429,152.9397,pm10|pm25,0.16793791272672873
368390,22.862145584232948,24.608534,62,13.727692469811943,Other Asia,TH,reference_likely,13.7435329,100.3526893,pm25,0.7084485675761606
368391,19.387125860647966,21.08373,63,12.67569246978016,Other Asia,TH,reference_likely,13.6881393,100.6579657,pm25,0.6496926056278169
368392,21.659045658447834,28.536772,63,13.180442651517911,Other Asia,TH,reference_likely,13.8778763,100.6207085,pm25,0.4735935734698589
368394,18.495106317971924,24.204098,61,11.492945081812374,Other Asia,TH,reference_likely,13.732225,100.5448381,pm25,0.7013721989829274
368396,20.622700230151,34.578045,63,12.228922810039402,Other Asia,TH,reference_likely,13.8055472,100.5488338,pm25,0.5046979138084414
368397,21.99832813494304,24.53578,63,12.30403106135804,Other Asia,TH,reference_likely,13.7693437,100.4945337,pm25,0.7252690828026976
368401,23.61578350835052,28.536772,63,16.733882250042257,Other Asia,TH,reference_likely,13.855656,100.8585539,pm25,0.5619691941812767
368402,26.829376615281245,21.128092,62,14.13286347528659,Other Asia,TH,reference_likely,13.7855673,100.6733359,pm25,0.6645744013304956
368403,21.09061661134759,34.412292,60,12.079882017645003,Other Asia,TH,reference_likely,13.802546,100.5509191,pm25,0.5413347755479102
368404,26.296255078887064,21.08373,63,13.20970213535193,Other Asia,TH,reference_likely,13.7631141,100.7302101,pm25,0.6641583944057526
368405,20.79504038977536,24.650705,59,13.517058587784792,Other Asia,TH,reference_likely,13.6863478,100.3844036,pm25,0.665658324022379
368406,24.589559974187303,24.53578,63,12.259616450994422,Other Asia,TH,reference_likely,13.7716446,100.4681128,pm25,0.7281419314177214
368408,20.725506036694167,21.165188,62,14.212981721340727,Other Asia,TH,reference_likely,13.7201042,100.7807077,pm25,0.6565007345836114
3684608,30.176262615871547,20.919235,73,24.398412171194817,Other Asia,LA,lowcost,18.035248,102.63994,pm1|pm25|relativehumidity|temperature|um003,0.7241772927388552
3684609,17.230788259205344,18.38803,71,23.944041677206346,Other Asia,VN,lowcost,21.346014,102.349329,pm1|pm25|relativehumidity|temperature|um003,0.8608845652489375
3684610,20.711395678051414,17.507223,60,36.99620423282882,Other Asia,LA,lowcost,19.699713,100.5572,pm1|pm25|relativehumidity|temperature|um003,0.8329782995988854
3684611,14.785034758458416,10.3850155,57,20.913400492008062,Other Asia,LA,lowcost,16.527879,106.021922,pm1|pm25|relativehumidity|temperature|um003,0.9010488667788478
3685146,23.634743731607454,21.48106,66,29.359621076907068,Other Asia,LA,lowcost,20.914061,101.764456,pm1|pm25|relativehumidity|temperature|um003,0.6255547344714533
3685147,23.830353338322972,13.552153,60,28.38616535563418,Other Asia,LA,lowcost,20.146431,101.467765,pm1|pm25|relativehumidity|temperature|um003,0.6657507601290191
3685148,14.724235314782916,12.090962,71,20.486130811234553,Other Asia,LA,lowcost,16.388527,105.375363,pm1|pm25|relativehumidity|temperature|um003,0.8595558722353247
3685150,16.10311993977498,14.547877,53,22.84425748036158,Other Asia,LA,lowcost,14.784126,105.819789,pm1|pm25|relativehumidity|temperature|um003,0.9461678293705756
3685151,17.55991023903799,13.975962,52,19.502415704541473,Other Asia,LA,lowcost,15.107035,105.772051,pm1|pm25|relativehumidity|temperature|um003,0.8793415076932836
3685152,17.789194044508157,14.523732,46,22.75470835054257,Other Asia,LA,lowcost,14.649459,105.804529,pm1|pm25|relativehumidity|temperature|um003,0.9475392019789036
3686,9.536691929641725,7.8601193,77,6.619766610602672,Europe,FR,reference_likely,49.8428200002493,3.2814389995581292,pm25,0.771501219060067
3687787,18.45553092938351,13.743075,71,18.068135651467117,Europe,RS,lowcost,45.10172441613039,19.86144594341759,pm1|pm25|relativehumidity|temperature|um003,0.7630172702068808
3714636,19.001727790669225,18.136003,64,33.280795651845615,Other Asia,LA,lowcost,20.296295,101.639666,pm1|pm25|relativehumidity|temperature|um003,0.7066159442151808
3714641,14.402955889207197,11.647807,57,16.844979458911396,Other Asia,LA,lowcost,15.994818,105.745889,pm1|pm25|relativehumidity|temperature|um003,0.9010007739335285
3714642,17.952600556686715,11.656193,72,18.75416328461882,Other Asia,LA,lowcost,15.12006,105.80211,pm1|pm25|relativehumidity|temperature|um003,0.8853382779529207
3714643,20.21302864919776,12.725232,54,24.13672102264641,Other Asia,LA,lowcost,15.181714,106.217852,pm1|pm25|relativehumidity|temperature|um003,0.883974335650966
3714646,13.80950399608065,12.598415,71,18.518927386242787,Other Asia,LA,lowcost,14.812678,106.829211,pm1|pm25|relativehumidity|temperature|um003,0.9212269873883324
3720347,3.725494394150166,8.134838,72,4.497382397024215,Other Asia,MY,lowcost,6.226897,116.451696,pm1|pm25|relativehumidity|temperature|um003,0.5729120364942987
3732,10.362814214608248,11.347552,80,8.027250483557888,Europe,FR,reference_likely,46.195829999916846,6.240556000117605,no2|o3|pm10|pm25,0.7951053809268637
3733063,14.990102224382762,11.434524,56,24.614307101634907,Other Asia,LA,lowcost,15.060355,105.897898,pm1|pm25|relativehumidity|temperature|um003,0.910461760609119
3733065,13.896711352582928,12.824659,49,16.1258246603426,Other Asia,KH,lowcost,14.048226,105.896012,pm1|pm25|relativehumidity|temperature|um003,0.8043948101606293
3771604,5.137579455599823,5.0888886,72,5.717246427705294,Other Asia,PH,reference_likely,10.99814,125.64968,pm25,0.1836255218584993
3783738,16.885243492475283,11.757916,70,21.444576863475845,Other Asia,LA,lowcost,16.844674,105.33638,pm1|pm25|relativehumidity|temperature|um003,0.8524116400046869
379,5.681761923923009,8.047549,51,5.8286697857872225,North/Central America,CA,reference_likely,48.894014,-116.359419,pm25,0.835072098329769
3792617,16.931680952257025,12.293246,58,22.41738306692373,Other Asia,LA,lowcost,16.692124,105.409764,pm1|pm25|relativehumidity|temperature|um003,0.9150255201178019
3799,9.487116890234917,11.0337715,76,8.732899892509447,Europe,FR,reference_likely,45.75329999969274,5.072199999985248,no2|o3|pm10|pm25,0.7175463442219517
3801453,5.290490225833578,12.445422,71,9.422574775120506,North/Central America,HN,lowcost,14.0150475,-87.0029999,pm1|pm25|relativehumidity|temperature|um003,0.4253102509380449
3831990,8.146289187978839,10.207798,70,8.26520704463549,Europe,NL,lowcost,52.036886,5.169077,pm1|pm25|relativehumidity|temperature|um003,0.6714728223438481
3847221,5.486501138878395,6.71875,70,5.1852010871494825,Europe,GB,reference_likely,51.27026,-2.19532,pm25,0.7911681562570744
3847222,7.661846416454266,7.08131,70,6.451926619705515,Europe,GB,reference_likely,51.2614,-2.21922,pm25,0.6014749243084551
3847229,13.919836347680418,7.779881,70,6.4723425087158555,MENA,MA,lowcost,32.21931682253332,-7.931065758934492,pm1|pm25|relativehumidity|temperature|um003,0.13188580786394455
3851,18.900709435492043,27.467628,65,10.100567739778143,Other Asia,TW,reference_likely,22.673081,120.488033,co|no2|o3|pm10|pm25|so2,0.43486898370047
385742,25.510488519825845,25.16173,65,16.035470632750066,Other Asia,TH,reference_likely,14.606306,100.453589,co|no2|o3|pm10|pm25|so2,0.4337725203356681
3862,13.491427032159297,22.24237,65,6.546409753880207,Other Asia,TW,reference_likely,25.03556747,121.08283092,co|no2|o3|pm10|pm25|so2,0.430939704964442
3863,22.27316958403915,19.084423,65,11.335242570005542,Other Asia,TW,reference_likely,22.564136109999996,120.42531099999998,co|no2|o3|pm10|pm25|so2,0.7327660025995257
