gww_id,name,reservoir,country,iso3,lat,lon,capacity_mw,latest_month,area_km2,area_anomaly,area_anomaly_3mo,precip_12mo_anomaly,pred_gen_anomaly,pred_gen_anomaly_lo,pred_gen_anomaly_hi,pred_gen_anomaly_3mo,has_generation_truth,confidence,match_method
82304,SHARAVATHY,Gerusoppa reservoir,India,IND,14.2352,74.7673,1275.0,2026-07,5.99,0.128,0.063,-0.035,-0.211,-0.462,0.283,-0.053,False,unknown residence time,gww_polygon
88914,Aguamilpa Solidaridad,Agua Milpa,Mexico,MEX,21.8395,-104.8038,960.0,2026-07,65.72,0.008,0.005,-0.095,-0.209,-0.513,0.32,-0.075,False,carry-over storage (validated class),hydrolakes_pour
87314,Carpenter,Lake Hamilton,USA,USA,34.4425,-93.0262,56.0,2026-07,23.67,-0.008,-0.0,-0.176,-0.137,-0.529,0.338,-0.306,True,short residence time (weak area signal),gww_polygon
83380,A Vuong,Hồ Thuỷ điện A Vương,Vietnam,VNM,15.7998,107.6171,210.0,2026-07,5.99,0.223,0.24,0.087,0.281,-0.496,0.944,0.329,False,unknown residence time,gww_polygon
77561,Vinh Son,,Vietnam,VNM,14.3656,108.6943,66.0,2026-07,2.03,-0.115,-0.053,0.06,-0.053,-0.555,0.52,-0.048,False,short residence time (weak area signal),hydrolakes_pour
88233,MAHI BAJAJ I&II,Mahi Bajaj Sagar Reservoir,India,IND,23.5443,74.5062,140.0,2026-07,64.23,0.011,0.098,0.077,0.018,-0.512,0.504,0.062,False,unknown residence time,gww_polygon
80265,Twin Branch,,USA,USA,41.665,-86.1322,4.8,2026-07,3.19,0.016,0.014,-0.058,-0.092,-0.536,0.265,-0.042,True,short residence time (weak area signal),hydrolakes_pour
77600,Khodjikent,,Uzbekistan,UZB,41.599,69.8644,165.0,2026-07,1.97,0.026,0.021,0.026,0.083,-0.298,0.513,0.099,False,unknown residence time,gww_polygon
76059,Nina,,China,CHN,36.06,101.27,160.0,2026-07,1.78,-0.063,-0.035,0.103,-0.025,-0.345,0.554,0.041,False,short residence time (weak area signal),hydrolakes_pour
88916,Smithland Hydroelectric Plant,,USA,USA,37.169636,-88.419518,75.9,2026-07,68.83,0.005,-0.005,-0.057,0.032,-0.352,0.559,-0.018,True,short residence time (weak area signal),hydrolakes_pour
76418,Villalcampo VILLALC 21 - Villalcampo Hydroelectric Power Plant Spain,,Spain,ESP,41.491101,-6.084608,215.8,2026-07,1.58,0.022,0.011,0.072,-0.034,-0.304,0.333,0.076,False,short residence time (weak area signal),hydrolakes_pour
87142,Jiangya Dam,,China,CHN,29.5416,110.739,300.0,2026-07,22.31,0.019,0.044,0.171,0.151,-0.43,0.94,0.34,False,carry-over storage (validated class),hydrolakes_pour
85796,JÃ¤rpstrÃ¶mmen,,Sweden,SWE,63.344498,13.460305,114.0,2026-07,16.7,0.01,-0.027,-0.156,-0.095,-0.374,0.159,-0.132,False,unknown residence time,gww_polygon
76688,Shamaldy-Say Hydroelectric Power Plant Kyrgyzstan,,Kyrgyzstan,KGZ,41.3121,72.1917,240.0,2026-07,2.04,0.023,0.012,-0.051,-0.005,-0.284,0.294,-0.019,False,short residence time (weak area signal),hydrolakes_pour
88745,Dworshak,Dworshak Reservoir,USA,USA,46.5143,-116.2977,465.0,2026-07,61.63,0.021,0.021,0.038,-0.084,-0.468,0.358,0.029,True,carry-over storage (validated class),hydrolakes_pour
80551,Twin Falls (WI),,USA,USA,45.872778,-88.070833,17.2,2026-07,3.34,0.001,0.038,0.267,0.164,-0.245,0.499,0.186,True,short residence time (weak area signal),hydrolakes_pour
90325,CHAVANTES,Itarare,BRA,BRA,-23.13055556,-49.73333333,414.0,2026-07,332.7,-0.042,-0.039,-0.04,-0.199,-0.685,0.424,-0.233,True,carry-over storage (validated class),hydrolakes_pour
84961,Piva_G1 - Piva (Mratinje) Hydroelectric Power Plant Montenegro,,Montenegro,MNE,43.272999,18.841999,360.0,2026-07,10.9,-0.039,-0.066,0.173,-0.022,-0.358,0.35,0.086,False,carry-over storage (validated class),hydrolakes_pour
76864,Nimbus,,USA,USA,38.63735,-121.220198,13.4,2026-07,1.88,0.051,0.035,-0.052,-0.184,-0.542,0.182,-0.242,True,short residence time (weak area signal),hydrolakes_pour
88737,Daecheong,,South Korea,KOR,36.4783,127.4801,90.0,2026-07,52.29,0.064,0.052,0.116,0.027,-0.444,0.581,0.172,False,carry-over storage (validated class),hydrolakes_pour
77030,Yunnan Baoshan Dengke,,China,CHN,24.6594,98.5221,120.0,2026-07,2.05,0.01,0.014,0.105,0.09,-0.449,0.836,0.149,False,unknown residence time,gww_polygon
87195,Mexicana de Hidroelectricidad Mexhidro,,Mexico,MEX,18.7015,-100.6699,30.0,2026-07,21.07,0.0,-0.022,-0.123,-0.271,-0.778,0.303,-0.083,False,short residence time (weak area signal),hydrolakes_pour
88670,Geheyan,,China,CHN,30.47,111.14,1200.0,2026-07,46.51,-0.058,-0.02,0.236,0.091,-0.358,0.667,0.212,False,carry-over storage (validated class),hydrolakes_pour
80560,S C Moore,Moore Reservoir,USA,USA,44.3356,-71.8742,363.2,2026-07,4.14,0.013,0.012,-0.053,0.01,-0.315,0.311,0.012,True,short residence time (weak area signal),gww_polygon
90178,Gariep,Hendrik Verwoerd,South Africa,ZAF,-30.62291667,25.5063876,360.0,2026-07,312.48,0.103,0.113,0.067,0.166,-0.348,1.029,0.231,False,carry-over storage (validated class),hydrolakes_pour
88816,MATATILLA,Matatila,India,IND,25.1001,78.3717,30.6,2026-07,58.98,-0.163,-0.191,-0.077,-0.211,-0.787,0.436,0.025,False,short residence time (weak area signal),hydrolakes_pour
80658,Dorena Hydro-Electric Facility,Dorena Lake,USA,USA,43.786667,-122.958056,7.5,2026-07,5.45,0.005,0.017,-0.111,-0.14,-0.558,0.3,-0.191,True,short residence time (weak area signal),hydrolakes_pour
87143,Ham Thuan - Da Mi,,Vietnam,VNM,11.336,107.935,300.0,2026-07,13.62,-0.197,-0.172,0.061,-0.124,-0.577,0.331,-0.116,False,carry-over storage (validated class),hydrolakes_pour
83143,Gantt,,USA,USA,31.4033,-86.479469,3.0,2026-07,5.79,-0.034,-0.037,-0.099,-0.014,-0.478,0.568,-0.155,True,short residence time (weak area signal),hydrolakes_pour
80353,Troneras Central,,Colombia,COL,6.7812,-75.2486,40.0,2026-07,2.67,-0.064,-0.011,0.072,0.051,-0.562,0.726,0.037,False,short residence time (weak area signal),hydrolakes_pour
88637,RAPEL,,Chile,CHL,-34.0409,-71.5902,378.0,2026-07,53.71,0.031,-0.025,0.019,-0.215,-0.39,0.147,-0.149,False,short residence time (weak area signal),hydrolakes_pour
88778,Riam Kanan/pangeran Muhamad Nur,,Indonesia,IDN,-3.5156,115.0074,30.0,2026-07,54.57,-0.036,0.007,0.093,0.048,-0.579,0.657,0.119,False,carry-over storage (validated class),hydrolakes_pour
88780,Boysen,Boysen,USA,USA,43.417872,-108.177545,15.0,2026-07,59.24,-0.138,-0.114,0.085,-0.17,-0.661,0.291,-0.12,True,carry-over storage (validated class),hydrolakes_pour
77319,Bakaru,,Indonesia,IDN,-3.44833333,119.6066667,126.0,2026-07,1.28,-0.079,-0.098,0.011,-0.205,-0.6,0.296,-0.098,False,short residence time (weak area signal),hydrolakes_pour
65016,St Louis,,USA,USA,43.4019,-84.6014,0.4,2026-07,0.41,-0.115,-0.062,0.012,-0.007,-0.688,0.361,-0.069,True,unknown residence time,gww_polygon
83263,Lower Baker,,USA,USA,48.5478,-121.7407,117.4,2026-07,7.8,-0.021,-0.0,0.033,-0.055,-0.356,0.322,-0.015,True,short residence time (weak area signal),hydrolakes_pour
67750,Pit 7,,USA,USA,40.847462,-121.990798,112.4,2026-07,0.73,-0.013,-0.018,-0.076,-0.147,-0.449,0.154,-0.181,True,short residence time (weak area signal),hydrolakes_pour
88935,CAMARGOS,,BRA,BRA,-21.32555556,-44.61666667,46.0,2026-07,62.63,0.062,0.087,-0.033,0.037,-0.733,0.921,0.05,True,short residence time (weak area signal),hydrolakes_pour
83916,Deer Creek (UT),Deer Creek,USA,USA,40.404354,-111.528446,4.8,2026-07,7.58,-0.119,-0.018,0.135,-0.088,-0.601,0.511,-0.028,True,carry-over storage (validated class),hydrolakes_pour
83031,Bastyan,Roseberry,Australia,AUS,-41.736,145.5321,79.9,2026-07,6.97,0.03,0.028,-0.068,-0.179,-0.593,0.181,-0.213,False,short residence time (weak area signal),hydrolakes_pour
88059,RAJGHAT (MP),Rajghat,India,IND,24.7635,78.2322,45.0,2026-07,69.83,0.092,0.097,-0.077,0.084,-0.605,0.926,0.247,False,carry-over storage (validated class),hydrolakes_pour
90382,JURUMIRIM,Barra Bonita,BRA,BRA,-23.21083333,-49.22916667,101.0,2026-07,380.41,-0.023,-0.024,-0.043,-0.195,-0.819,0.523,-0.205,True,carry-over storage (validated class),hydrolakes_pour
80097,Takisato,Kitasatoko,Japan,JPN,43.4437,142.2883,57.0,2026-07,4.26,0.017,0.083,0.496,0.254,-0.201,0.636,0.314,False,short residence time (weak area signal),hydrolakes_pour
70515,Granfors,,Sweden,SWE,64.77972222,20.41638889,40.0,2026-07,0.97,0.004,-0.001,0.176,0.12,-0.391,0.558,0.124,False,short residence time (weak area signal),hydrolakes_pour
90317,Kerr,Flathead Lake,USA,USA,47.6777,-114.2339,231.9,2026-07,497.47,0.005,0.007,-0.076,-0.048,-0.307,0.188,0.002,True,short residence time (weak area signal),hydrolakes_pour
